ASOF02   Date 01/24/2002 Time 21:29:14   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 001

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - VAL       LARGE CAP VALUE ACTI
Instrument - COM       COMMON STOCK

ADC COMMUNICATIONS INC                     0.000 ADCT    000886101      4.6000       474,500.00     10,505,593.88      2,182,700.00
ADVANCED MICRO DEVICES INC.                0.000 AMD     007903107     15.8600       216,000.00      4,274,692.04      3,425,760.00
AES CORP                                   0.000 AES     00130H105     16.3500       822,000.00     22,984,198.27     13,439,700.00
AETNA INC.                                 0.121 AET     00817Y108     32.9900        62,000.00      1,102,878.19      2,045,380.00
AFLAC INC                                  0.814 AFL     001055102     24.5600       270,000.00      5,747,823.87      6,631,200.00
AGILENT TECHNOLOGIES INC                   0.000 A       00846U101     28.5100       330,400.00     12,272,600.68      9,419,704.00
AIR PROD. & CHEM.                          1.705 APD     009158106Q    46.9100        77,100.00      2,991,110.02      3,616,761.00
ALBERTSON’S, INC.                          2.413 ABS     013104104Q    31.4900       244,200.00      9,080,578.57      7,689,858.00
ALCAN INC                                  1.669 AL      013716105Q    35.9300       160,000.00      5,178,715.56      5,748,800.00
ALCOA INC.                                 1.687 AA      013817101Q    35.5500       668,400.00     20,810,166.51     23,761,620.00
ALLEGHENY ENERGY INC.                      4.748 AYE     017361106Q    36.2200        75,600.00      2,377,023.54      2,738,232.00
ALLEGHENY TECHNOLOGIES INC                 4.776 ATI     01741R102     16.7500        60,000.00      1,215,330.00      1,005,000.00
ALLIED WASTE INDUSTRIES                    0.000 AW      019589308     14.0600       121,000.00      1,694,000.00      1,701,260.00
ALLSTATE CORP                              2.255 ALL     020002101Q    33.7000       460,000.00     16,764,961.04     15,502,000.00
ALLTEL CORP                                2.203 AT      020039103Q    61.7300       197,500.00     13,960,736.47     12,191,675.00
AMBAC FINANCIAL GROUP INC.                 0.622 ABK     023139108Q    57.8600        59,400.00      2,454,499.89      3,436,884.00
AMEREN CORP.                               6.004 AEE     023608102Q    42.3000        85,000.00      3,062,935.87      3,595,500.00
AMERICAN ELECTRIC POWER                    5.513 AEP     025537101Q    43.5300       248,600.00      9,511,592.08     10,821,558.00
AMERICAN EXPRESS CO.                       0.896 AXP     025816109Q    35.6900       773,100.00     28,311,271.58     27,591,939.00
AMERICAN INTL GROUP                        0.214 AIG     026874107Q    79.4000     1,638,043.00     91,730,455.87    130,060,614.20
AMERICAN POWER CONVERSION                  0.000 APCC    029066107     14.4600       184,700.00      3,525,447.62      2,670,762.00
AMERISOURCEBERGEN CORP                     0.047 ABC     03073E105     63.5500        33,000.00      2,103,386.30      2,097,150.00
AMR CORP.                                  0.000 AMR     001765106     22.1700       190,800.00      7,113,508.42      4,230,036.00
AMSOUTH BANCORPORATION                     4.656 ASO     032165102     18.9000       275,600.00      4,968,523.85      5,208,840.00
ANADARKO PETROLEUM CORP                    0.527 APC     032511107Q    56.8500       240,000.00     11,525,954.25     13,644,000.00
AOL TIME WARNER INC                        0.000 AOL     00184A105     32.1000     2,787,200.00    119,625,337.61     89,469,120.00
AON CORP                                   2.533 AOC     037389103Q    35.5200       250,000.00      8,864,575.00      8,880,000.00
APACHE CORP.                               0.200 APA     037411105     49.8800        83,380.00      3,904,560.00      4,158,994.40
APPLE COMPUTER INC.                        0.000 AAPL    037833100     21.9000       200,000.00      4,328,000.00      4,380,000.00
APPLIED MICRO CIRCUITS CORP                0.000 AMCC    03822W109     11.3200       383,900.00      5,194,628.63      4,345,748.01
ARCHER DANIELS MIDLAND CO                  1.393 ADM     039483102Q    14.3500       509,251.00      6,547,618.45      7,307,751.85
AT&T CORPORATION                           0.826 T       001957109Q    18.1400     2,145,000.00     52,220,742.17     38,910,300.00
AT&T WIRELESS SERVICES INC                 0.000 AWE     00209A106     14.3700     1,651,148.00     34,640,808.16     23,726,996.76
AUTODESK INC.                              0.643 ADSK    052769106Q    37.2700        33,000.00      1,283,148.90      1,229,910.00
BAKER HUGHES CORP                          1.261 BHI     057224107Q    36.4700       233,600.00      6,382,020.74      8,519,392.00
BANK OF AMERICA CORP.                      3.812 BAC     060505104Q    62.9500     1,003,000.00     59,953,187.65     63,138,850.00
BANK ONE CORPORATION                       2.151 ONE     06423A103Q    39.0500       751,400.00     34,622,634.71     29,342,169.98
BARRICK GOLD CORP.                         1.379 ABX     067901108S    15.9500       305,000.00      5,857,112.99      4,864,750.00
BAUSCH & LOMB INC                          2.761 BOL     071707103Q    37.6600        50,000.00      2,088,240.00      1,883,000.00
