ASOF02   Date 01/24/2002 Time 21:29:17   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 019

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - IND       LARGE CAP SELECT
Instrument - COM       COMMON STOCK

ABBOTT LABORATORIES                        1.506 ABT     002824100Q    55.7500     1,039,400.00     29,856,574.88     57,946,550.00
ADC COMMUNICATIONS INC                     0.000 ADCT    000886101      4.6000       691,200.00      8,785,279.61      3,179,519.99
ADOBE SYSTEMS INC.                         0.161 ADBE    00724F101Q    31.0500       165,700.00      4,801,372.10      5,144,984.98
ADVANCED MICRO DEVICES INC.                0.000 AMD     007903107     15.8600       105,100.00      2,058,558.42      1,666,886.01
AES CORP                                   0.000 AES     00130H105     16.3500       789,400.00     25,652,420.95     12,906,689.99
AETNA INC.                                 0.121 AET     00817Y108     32.9900        62,800.00      1,830,499.64      2,071,771.99
AFLAC INC                                  0.814 AFL     001055102     24.5600       351,200.00      9,476,423.22      8,625,472.00
AGILENT TECHNOLOGIES INC                   0.000 A       00846U101     28.5100       357,840.00     10,775,349.76     10,202,018.40
AIR PROD. & CHEM.                          1.705 APD     009158106Q    46.9100       223,900.00      5,768,280.50     10,503,148.99
ALBERTSON’S, INC.                          2.413 ABS     013104104Q    31.4900       254,600.00      8,159,410.90      8,017,354.00
ALCAN INC                                  1.669 AL      013716105Q    35.9300       202,100.00      7,265,156.56      7,261,452.99
ALCOA INC.                                 1.687 AA      013817101Q    35.5500       624,800.00     12,950,687.15     22,211,640.00
ALLEGHENY ENERGY INC.                      4.748 AYE     017361106Q    36.2200        91,900.00      4,624,550.07      3,328,617.99
ALLEGHENY TECHNOLOGIES INC                 4.776 ATI     01741R102     16.7500        23,150.00        610,815.53        387,762.50
ALLERGAN PHARMACEUTICALS INC.              0.479 AGN     018490102Q    75.0500       103,700.00      7,170,490.53      7,782,685.01
ALLIED WASTE INDUSTRIES                    0.000 AW      019589308     14.0600        46,100.00        630,323.61        648,166.00
ALLSTATE CORP                              2.255 ALL     020002101Q    33.7000       488,700.00     13,052,574.22     16,469,190.01
ALLTEL CORP                                2.203 AT      020039103Q    61.7300       130,200.00      6,909,711.62      8,037,245.98
ALTERA CORP                                0.000 ALTR    021441100     21.2200       255,000.00      7,535,697.13      5,411,099.99
AMBAC FINANCIAL GROUP INC.                 0.622 ABK     023139108Q    57.8600       131,000.00      6,548,238.70      7,579,659.99
AMERADA HESS CORP.                         1.920 AHC     023551104Q    62.5000        42,700.00      3,155,797.03      2,668,750.01
AMERICAN ELECTRIC POWER                    5.513 AEP     025537101Q    43.5300       258,000.00     10,518,689.08     11,230,740.02
AMERICAN EXPRESS CO.                       0.896 AXP     025816109Q    35.6900       664,700.00     17,316,772.20     23,723,143.01
AMERICAN HOME PRODUCTS                     1.499 AHP     026609107Q    61.3600     1,084,600.00     33,979,555.26     66,551,056.00
AMERICAN INTL GROUP                        0.214 AIG     026874107Q    79.4000     1,774,796.00     45,653,035.43    140,918,802.38
AMERICAN PHARMACEUTICAL PART               0.000 APPX    02886P109     20.8000         5,400.00         88,106.00        112,320.00
AMERICAN POWER CONVERSION                  0.000 APCC    029066107     14.4600       242,100.00      3,634,490.14      3,500,766.01
AMERISOURCEBERGEN CORP                     0.047 ABC     03073E105     63.5500        59,610.00      3,793,936.52      3,788,215.49
AMGEN INC                                  0.000 AMGN    031162100     56.4400       730,600.00     21,302,136.95     41,235,064.01
AMR CORP.                                  0.000 AMR     001765106     22.1700       206,300.00      5,659,013.73      4,573,671.01
ANADARKO PETROLEUM CORP                    0.527 APC     032511107Q    56.8500       296,675.00     12,514,772.33     16,865,973.75
ANALOG DEVICES                             0.000 ADI     032654105     44.3900        87,400.00      3,109,816.75      3,879,685.99
ANHEUSER-BUSCH                             1.592 BUD     035229103Q    45.2100       619,700.00     11,410,149.70     28,016,637.00
AOL TIME WARNER INC                        0.000 AOL     00184A105     32.1000     2,992,500.00     87,730,216.20     96,059,250.01
AON CORP                                   2.533 AOC     037389103Q    35.5200       171,200.00      5,527,501.77      6,081,023.99
APACHE CORP.                               0.200 APA     037411105     49.8800        30,126.30      1,628,991.28      1,502,699.84
APPLE COMPUTER INC.                        0.000 AAPL    037833100     21.9000       217,000.00      3,635,595.22      4,752,299.99
APPLERA CORP - APPLIED BIOSYST             0.432 ABI     038020103Q    39.2700        93,600.00      2,842,698.79      3,675,671.99
APPLIED MATERIALS INC.                     0.000 AMAT    038222105     40.1000       554,100.00     19,674,623.26     22,219,410.00
