ASOF02   Date 01/24/2002 Time 21:29:14   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 004

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - VAL       LARGE CAP VALUE ACTI
Instrument - COM       COMMON STOCK

FEDEX CORPORATION                          0.000 FDX     31428X106     51.8800       110,000.00      4,138,300.55      5,706,800.00
FIRST ENERGY CORP.                         4.288 FE      337932107Q    34.9800       220,000.00      5,463,506.82      7,695,600.00
FLEETBOSTON FINANCIAL CORP                 3.835 FBF     339030108Q    36.5000       756,094.00     20,787,034.82     27,597,431.00
FLUOR CORP (NEW)                           1.711 FLR     343412102     37.4000        49,000.00      1,881,544.56      1,832,600.01
FORD MOTOR COMPANY                         3.816 F       345370860     15.7200       984,600.00     26,973,198.16     15,477,912.00
FORTUNE BRANDS INC.                        2.525 FO      349631101Q    39.5900       100,300.00      2,928,800.85      3,970,877.00
FPL GROUP INC.                             3.971 FPL     302571104Q    56.4000       107,500.00      5,354,291.82      6,063,000.00
FRANKLIN RESOURCES INC                     0.737 BEN     354613101Q    35.2700       183,000.00      6,858,354.76      6,454,410.00
FREDDIE MAC                                1.223 FRE     313400301Q    65.4000       442,500.00     20,191,294.12     28,939,500.00
GANNETT INC                                1.368 GCI     364730101Q    67.2300       164,800.00     10,725,060.31     11,079,504.00
GAP INC                                    0.645 GPS     364760108Q    13.9400       540,000.00     15,644,521.73      7,527,600.00
GATEWAY INC.                               0.000 GTW     367626108      8.0400       200,000.00      5,920,794.55      1,608,000.00
GENERAL DYNAMICS CORP.                     1.406 GD      369550108Q    79.6400       100,000.00      5,090,728.17      7,964,000.00
GENERAL MOTORS CORP                        4.115 GM      370442105Q    48.6000       351,600.00     21,610,766.82     17,087,760.00
GENUINE PARTS CO                           3.106 GPC     372460105Q    36.7000       109,500.00      3,454,111.48      4,018,650.00
GEORGIA PACIFIC                            1.810 GP      373298108Q    27.6100        46,472.00      1,656,457.57      1,283,091.92
GOLDEN WEST FINANCIAL CORP                 0.492 GDW     381317106Q    58.8500        19,600.00        976,219.21      1,153,460.00
GOODRICH CORP.                             4.132 GR      382388106Q    26.6200       111,400.00      4,009,316.41      2,965,468.00
HALLIBURTON COMPANY                        3.816 HAL     406216101Q    13.1000       267,000.00      8,325,521.49      3,497,700.00
HARRAH’S ENTERTAINMENT INC.                0.000 HET     413619107     37.0100        70,000.00      1,555,059.06      2,590,700.00
HARTFORD FINL SERVICES                     1.655 HIG     416515104     62.8300       211,000.00     11,164,670.76     13,257,130.00
HCA INC                                    0.207 HCA     404119109     38.5400       377,000.00     10,768,347.13     14,529,580.00
HEALTH MGMT ASSOCIATES CL A                0.000 HMA     421933102     18.4000       111,000.00      1,652,410.54      2,042,400.01
HEALTHSOUTH CORP                           0.000 HRC     421924101     14.8200       254,000.00      3,911,148.00      3,764,280.00
HEWLETT-PACKARD CO                         1.557 HWP     428236103Q    20.5400     1,206,900.00     36,071,980.27     24,789,726.00
HONEYWELL INTERNATIONAL INC                2.217 HON     438516106Q    33.8200       570,000.00     27,637,122.67     19,277,400.00
HOUSEHOLD INTL. INC.                       1.518 HI      441815107Q    57.9400       250,000.00     10,028,946.54     14,485,000.00
ILLINOIS TOOL WORKS                        1.299 ITW     452308109Q    67.7200       166,000.00     10,514,201.58     11,241,520.00
INCO LTD                                   0.000 N       453258402Q    16.9400        40,000.00        702,096.00        677,600.00
INGERSOLL-RAND CO-A                        1.626 IR      G4776G101Q    41.8100       132,800.00      6,113,266.91      5,552,368.00
INTERNATIONAL PAPER                        2.478 IP      460146103Q    40.3500       324,900.00     11,849,497.62     13,109,715.00
ITT INDUSTRIES INC                         1.188 ITT     450911102     50.5000        46,400.00      1,579,349.43      2,343,200.00
J C PENNEY INC                             1.858 JCP     708160106Q    26.9000       230,000.00      6,045,793.39      6,187,000.00
JABIL CIRCUIT INC                          0.000 JBL     466313103     22.7200       204,400.00      5,196,975.42      4,643,968.00
JDS UNIPHASE CORP                          0.000 JDSU    46612J101      8.6800     1,950,200.00     93,445,180.01     16,927,736.00
JEFFERSON PILOT                            2.377 JP      475070108Q    46.2700        50,500.00      2,226,590.89      2,336,635.00
JOHNSON CONTROLS                           1.634 JCI     478366107Q    80.7500        15,500.00        942,839.00      1,251,625.00
JP MORGAN CHASE & CO.                      3.741 JPM     46625H100Q    36.3500     1,264,000.00     52,048,044.87     45,946,400.00
K MART CORP                                0.000 KM      482584109      5.4600     1,335,000.00     10,948,599.35      7,289,100.00
