ASOF02   Date 01/24/2002 Time 21:29:24   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 055

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - SNP       S&P 500 PASSIVE
Instrument - COM       COMMON STOCK

LOWE’S COS                                 0.172 LOW     548661107Q    46.4100       302,234.00      4,629,780.47     14,026,679.95
LSI LOGIC CORP                             0.000 LSI     502161102     15.7800       143,168.85      3,553,533.13      2,259,204.44
LUCENT TECHNOLOGIES                        0.000 LU      549463107      6.2900     1,332,569.00     32,718,153.30      8,381,859.00
MANOR CARE INC.                            0.000 HCR     564055101     23.7100        39,926.00        749,030.31        946,645.46
MARATHON OIL CORP                          3.066 MRO     565849106Q    30.0000       120,725.00      2,921,189.63      3,621,750.01
MARRIOTT INT’L INC CL-A                    0.639 MAR     571903202     40.6500        94,011.00      2,177,412.81      3,821,547.14
MARSH & MCLENNAN COS.                      1.973 MMC     571748102Q   107.4500       107,196.00      6,136,208.46     11,518,210.20
MASCO CORP.                                2.204 MAS     574599106Q    24.5000       179,129.00      3,547,587.31      4,388,660.51
MATTEL INC.                                0.290 MAT     577081102Q    17.2000       168,474.00      3,230,266.58      2,897,752.80
MAXIM INTGRTD PRDCTS INC.                  0.000 MXIM    57772K101     52.5100       126,096.00      3,873,980.57      6,621,300.94
MAY DEPT STORES                            2.541 MAY     577778103Q    36.9800       116,781.00      3,417,803.30      4,318,561.38
MAYTAG COMPANY                             2.320 MYG     578592107Q    31.0300        29,876.00        734,832.38        927,052.28
MBIA INC.                                  1.118 MBI     55262C100Q    53.6300        57,882.50      2,145,770.20      3,104,238.47
MBNA CORP                                  1.022 KRB     55262L100Q    35.2000       332,416.00      5,746,845.51     11,701,043.21
MCDERMOTT INTERNATIONAL                    0.000 MDR     580037109Q    12.2700        24,136.00        477,160.45        296,148.72
MCDONALDS CORPORATION                      0.868 MCD     580135101Q    26.4700       501,655.00     13,347,679.34     13,278,807.85
MCGRAW HILL INC                            1.607 MHP     580645109Q    60.9800        75,511.00      2,478,873.87      4,604,660.78
MCKESSON CORP                              0.641 MCK     58155Q103Q    37.4000       111,596.00      5,199,127.82      4,173,690.41
MEAD CORPORATION                           2.201 MEA     582834107Q    30.8900        38,832.00      1,011,410.51      1,199,520.48
MEDIMMUNE INC                              0.000 MEDI    584699102     46.3500        83,574.00      1,835,505.21      3,873,654.91
MEDTRONIC INC                              0.449 MDT     585055106Q    51.2100       472,485.00     12,311,597.62     24,195,956.85
MELLON NATIONAL CORP.                      1.275 MEL     58551A108Q    37.6200       182,577.00      3,900,927.72      6,868,546.75
MERCK & CO INC                             2.381 MRK     589331107Q    58.8000       887,663.00     41,706,007.45     52,194,584.40
MERCURY INTERACTIVE CORP.                  0.000 MERQ    589405109     33.9800        32,381.00        867,853.90      1,100,306.40
MEREDITH CORPORATION                       0.953 MDP     589433101Q    35.6500        19,218.00        391,126.01        685,121.70
MERRILL LYNCH & CO. INC.                   1.227 MER     590188108Q    52.1200       330,336.00     10,875,595.88     17,217,112.33
METLIFE INC                                0.631 MET     59156R108     31.6800       282,839.00      9,956,555.93      8,960,339.53
MGIC INVESTMENT CORP                       0.162 MTG     552848103Q    61.7200        41,841.00      1,724,764.51      2,582,426.53
MICRON TECHNOLOGY INC                      0.000 MU      595112103Q    31.0000       233,865.00      7,164,816.84      7,249,815.01
MICROSOFT CORP.                            0.000 MSFT    594918104     66.2500     2,102,188.00     79,952,189.05    139,269,955.00
MILLIPORE CORPORATION                      0.724 MIL     601073109Q    60.7000        18,640.00        643,886.57      1,131,448.00
MINN MINING & MFG CO                       2.030 MMM     604059105Q   118.2100       153,064.00     12,345,240.05     18,093,695.44
MIRANT CORP                                0.000 MIR     604675108     16.0200       156,419.00      2,974,869.09      2,505,832.36
MOLEX INC                                  0.323 MOLX    608554101     30.9500        76,417.25      2,242,659.63      2,365,113.88
MOODY’S CORPORATION                        0.451 MCO     615369105     39.8600        60,910.00      1,060,099.03      2,427,872.59
MORGAN STANLEY DEAN WITTER & C             1.644 MWD     617446448Q    55.9400       427,986.00     14,446,829.06     23,941,536.85
MOTOROLA INC                               1.065 MOT     620076109Q    15.0200       868,747.00     19,138,826.20     13,048,579.94
NABORS INDUSTRIES                          0.000 NBR     629568106     34.3300        55,037.00      1,686,793.95      1,889,420.21
NATIONAL CITY CORP                         4.035 NCC     635405103Q    29.2400       236,542.00      5,336,225.72      6,916,488.08
