ASOF02   Date 01/24/2002 Time 21:29:14   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 002

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - VAL       LARGE CAP VALUE ACTI
Instrument - COM       COMMON STOCK

BB&T CORPORATION                           2.880 BBT     054937107     36.1100       210,200.00      6,113,086.16      7,590,322.00
BEAR STEARNS COMPANIES INC                 1.023 BSC     073902108     58.6400        62,900.00      3,034,038.84      3,688,456.00
BECTON DICKINSON & COMPANY                 1.146 BDX     075887109Q    33.1500       263,500.00      7,636,370.19      8,735,025.00
BELLSOUTH                                  1.992 BLS     079860102Q    38.1500     1,166,800.00     48,136,457.96     44,513,420.00
BEMIS CO.                                  2.033 BMS     081437105Q    49.1800        33,000.00      1,043,645.76      1,622,940.00
BIG LOTS, INC.                             0.000 BLI     089302103     10.4000        69,400.00      1,227,745.18        721,760.00
BLACK & DECKER                             1.272 BDK     091797100Q    37.7300        52,500.00      2,305,805.92      1,980,825.00
BMC SOFTWARE                               0.000 BMC     055921100     16.3700       270,000.00      8,322,468.38      4,419,900.00
BOEING CO                                  1.753 BA      097023105Q    38.7800       550,000.00     20,400,873.93     21,329,000.00
BOISE CASCADE CORP                         1.764 BCC     097383103Q    34.0100        35,000.00      1,286,169.50      1,190,350.00
BROADCOM CORP CL A                         0.000 BRCM    111320107     40.8700       225,900.00     33,738,373.03      9,232,533.00
BRUNSWICK CORP                             2.297 BC      117043109Q    21.7600        61,900.00      1,161,888.76      1,346,944.00
BURLINGTON NORTHERN SANTA FE               1.682 BNI     12189T104Q    28.5300       285,000.00      7,523,197.00      8,131,050.00
BURLINGTON RESOURCES                       1.465 BR      122014103Q    37.5400       123,800.00      4,801,036.14      4,647,452.00
CALPINE CORPORATION                        0.000 CPN     131347106     16.7900       746,900.00     14,712,171.91     12,540,450.99
CAPITAL ONE FINANCIAL CORP.                0.203 COF     14040H105     53.9500       123,200.00      6,032,918.59      6,646,640.00
CARNIVAL CORP                              1.495 CCL     143658102Q    28.0800       451,800.00     18,599,147.24     12,686,544.00
CATERPILLAR INC.                           2.679 CAT     149123101Q    52.2500       245,000.00     12,361,665.79     12,801,250.00
CENDANT CORP.                              0.000 CD      151313103     19.6100       530,400.00     10,381,572.99     10,401,144.00
CENTEX CORP                                0.280 CTX     152312104Q    57.0900        10,000.00        240,691.33        570,900.00
CENTURYTEL, INC.                           0.609 CTL     156700106     32.8000        90,000.00      2,881,202.95      2,952,000.00
CHARTER ONE FNCL INC.                      2.946 CF      160903100Q    27.1500        60,797.00      1,455,673.29      1,650,638.55
CHEVRONTEXACO CORP                         3.124 CVX     166764100Q    89.6100       677,485.00     54,459,981.21     60,709,430.86
CHUBB CORP                                 1.971 CB      171232101Q    69.0000       180,000.00      9,491,157.45     12,420,000.00
CIENA CORP.                                0.000 CIEN    171779101     14.3100       190,000.00      3,262,601.00      2,718,900.00
CIGNA CORP.                                1.381 CI      125509109Q    92.6500        86,500.00      6,861,789.21      8,014,225.00
CINCINNATI FINANCIAL CORP.                 2.201 CINF    172062101Q    38.1500       150,600.00      5,617,156.98      5,745,390.00
CINERGY CORP                               5.384 CIN     172474108Q    33.4300       128,000.00      3,681,027.42      4,279,040.00
CIRCUIT CITY STORES                        0.269 CC      172737108Q    25.9500       394,800.00      8,144,202.27     10,245,060.00
CITIGROUP INC.                             1.267 C       172967101Q    50.4800     3,201,591.00    108,895,948.05    161,616,313.68
CLEAR CHANNEL COMMUNICATIONS               0.000 CCU     184502102     50.9100       418,800.00     31,323,945.06     21,321,108.00
CMS ENERGY CORP                            6.075 CMS     125896100Q    24.0300        88,400.00      2,198,417.92      2,124,252.00
COCA-COLA ENTERPRISE                       0.844 CCE     191219104     18.9400       381,600.00      8,356,325.05      7,227,504.00
COMCAST CP CL A SPL                        0.000 CMCSK   200300200Q    36.0000       685,900.00     23,164,897.37     24,692,400.00
COMERICA INC.                              3.071 CMA     200340107Q    57.3000       165,000.00      7,811,628.77      9,454,500.00
COMPAQ COMPUTER CORP.                      1.024 CPQ     204493100      9.7600     1,335,000.00     29,650,372.10     13,029,600.00
COMPUTER ASSOCIATE INTL. INC.              0.232 CA      204912109S    34.4900       355,000.00     15,862,562.48     12,243,950.00
COMPUTER SCIENCES                          0.000 CSC     205363104     48.9800       110,000.00      7,200,923.96      5,387,800.00
COMPUWARE CORP                             0.000 CPWR    205638109     11.7900       259,400.00      3,202,387.16      3,058,326.00
