ASOF02   Date 01/24/2002 Time 21:29:21   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 039

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - MG4       MID-CAP GROWTH
Instrument - COM       COMMON STOCK

DIAL CORP/AZ                               0.932 DL      25247D101Q    17.1500       109,900.00      1,808,174.07      1,884,784.99
DIEBOLD INC                                1.582 DBD     253651103     40.4400       120,700.00      3,441,725.30      4,881,108.00
DOLLAR TREE STORES INC                     0.000 DLTR    256747106     30.9100       218,700.00      6,242,438.97      6,760,017.00
DONALDSON CO INC                           0.772 DCI     257651109     38.8400        71,100.00      2,234,744.76      2,761,524.00
DPL INC                                    3.903 DPL     233293109Q    24.0800       182,600.00      4,232,586.02      4,397,008.00
DREYER’S GRAND ICE CREAM INC               0.623 DRYR    261878102     38.5100        34,200.00      1,140,104.02      1,317,042.00
DST SYSTEMS INC                            0.000 DST     233326107     49.8500       235,500.00      9,599,063.48     11,739,675.00
DUN & BRADSTREET CORP                      0.000 DNB     26483E100     35.3000       122,400.00      2,610,177.01      4,320,720.00
EATON VANCE CORP.                          0.815 EV      278265103     35.5500       137,200.00      3,332,060.76      4,877,460.00
EDUCATION MANAGEMENT COPR                  0.000 EDMC    28139T101     36.2500        32,000.00      1,173,287.13      1,160,000.00
EDWARDS LIFESCIENCES                       0.000 EW      28176E108     27.6300       108,100.00      1,252,274.12      2,986,803.00
ELAN CORP PLC-ADR                          0.000 ELN     284131208     45.0600         8,500.00        380,508.15        383,010.00
ELECTRONIC ARTS, INC                       0.000 ERTS    285512109     59.9500       262,400.00     10,706,787.69     15,730,879.99
EMC CORP                                   0.000 EMC     268648102     13.4400        51,600.00        813,620.26        693,503.99
ENTERCOM COMMUNICATIONS CORP               0.000 ETM     293639100     50.0000        66,600.00      3,039,697.46      3,330,000.00
EQUITABLE RESOURCES INC                    1.878 EQT     294549100     34.0700       128,400.00      4,462,702.67      4,374,588.00
EXPEDITORS INT’L. WASH INC.                0.351 EXPD    302130109     56.9500        87,600.00      2,534,765.69      4,988,820.00
EXPRESS SCRIPTS                            0.000 ESRX    302182100     46.7600       152,700.00      4,437,671.91      7,140,252.00
FAIRCHILD SEMICONDUTOR CORP                0.000 FCS     303726103     28.2000       199,000.00      5,483,850.50      5,611,800.00
FASTENAL CO                                0.135 FAST    311900104     66.4300        69,300.00      4,047,284.25      4,603,599.00
FEDERAL SIGNAL CORP                        3.502 FSS     313855108     22.2700        65,300.00      1,193,096.16      1,454,231.00
FEI COMPANY                                0.000 FEIC    30241L109     31.5100        58,400.00      2,197,938.72      1,840,184.00
FERRO CORP                                 2.248 FOE     315405100Q    25.8000        62,600.00      1,334,697.18      1,615,080.00
FIRST HEALTH GROUP CORP.                   0.000 FHCC    320960107     24.7400       181,800.00      3,577,457.46      4,497,732.00
FIRST TENNESSEE NATL CORP                  2.757 FTN     337162101     36.2600       200,000.00      6,477,597.55      7,252,000.00
FLOWSERVE CORP.                            0.000 FLS     34354P105Q    26.6100        81,000.00      2,118,771.30      2,155,410.00
FMC TECHNOLOGIES INC                       0.000 FTI     30249U101     16.4500        78,398.12      1,398,088.63      1,289,649.09
FOREST LABORATORIES INC.                   0.000 FRX     345838106     81.9500         4,700.00        381,962.95        385,165.00
GALLAGHER (ARTHUR) J & CO.                 1.507 AJG     363576109Q    34.4900       132,700.00      2,317,256.33      4,576,823.00
GARTNER INC-CL B                           0.000 IT.B    366651206     11.2000       165,665.00      1,835,816.26      1,855,448.00
GENTEX CORP.                               0.000 GNTX    371901109     26.7300       137,000.00      3,577,570.90      3,662,010.00
GILEAD SCIENCES INC.                       0.000 GILD    375558103     65.7200       186,400.00      6,956,001.58     12,250,207.99
GREATER BAY BANCORP                        1.609 GBBK    391648102     28.5800       103,900.00      2,811,390.24      2,969,461.99
GTECH HOLDINGS CORP                        0.000 GTK     400518106     45.2900        52,500.00      1,018,752.82      2,377,725.00
HARTE-HANKS INC.                           0.426 HHS     416196103     28.1700       100,900.00      2,380,728.58      2,842,353.00
HENRY (JACK) & ASSOCIATES                  0.549 JKHY    426281101     21.8400       106,100.00      1,276,497.97      2,317,224.00
HENRY SCHEIN INC                           0.000 HSIC    806407102     37.0300        77,900.00      2,902,134.53      2,884,637.00
HILLENBRAND IND.                           1.519 HB      431573104Q    55.2700       113,900.00      5,769,422.40      6,295,253.00
HON INDUSTRIES                             1.736 HNI     438092108     27.6500       107,000.00      2,678,972.98      2,958,550.00
