ASOF02   Date 01/24/2002 Time 21:29:22   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 043

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - GP5       LARGE CAP GROWTH
Instrument - COM       COMMON STOCK

ABBOTT LABORATORIES                        1.506 ABT     002824100Q    55.7500     1,439,000.00     41,428,134.86     80,224,250.01
ADOBE SYSTEMS INC.                         0.161 ADBE    00724F101Q    31.0500       170,000.00      4,574,999.54      5,278,500.00
ALLERGAN PHARMACEUTICALS INC.              0.479 AGN     018490102Q    75.0500       160,000.00      9,755,238.43     12,008,000.00
ALTERA CORP                                0.000 ALTR    021441100     21.2200       475,000.00     10,590,362.78     10,079,500.00
AMERICAN HOME PRODUCTS                     1.499 AHP     026609107Q    61.3600     1,276,600.00     55,024,132.74     78,332,176.00
AMERICAN PHARMACEUTICAL PART               0.000 APPX    02886P109     20.8000         5,000.00         80,000.00        104,000.00
AMGEN INC                                  0.000 AMGN    031162100     56.4400       977,000.00     34,579,493.65     55,141,880.01
ANALOG DEVICES                             0.000 ADI     032654105     44.3900       280,000.00     14,125,200.06     12,429,200.00
ANHEUSER-BUSCH                             1.592 BUD     035229103Q    45.2100       828,300.00     27,609,366.80     37,447,443.00
APPLERA CORP - APPLIED BIOSYST             0.432 ABI     038020103Q    39.2700       183,000.00      7,834,917.22      7,186,410.00
APPLIED MATERIALS INC.                     0.000 AMAT    038222105     40.1000       735,000.00     35,472,430.89     29,473,500.00
AUTOMATIC DATA PROC.                       0.781 ADP     053015103Q    58.9000       540,000.00     20,502,521.79     31,806,000.00
AUTOZONE INC                               0.000 AZO     053332102     71.8000         7,000.00        510,715.10        502,600.00
AVAYA INC                                  0.000 AV      053499109     12.1500       340,000.00      6,174,681.97      4,131,000.00
AVERY DENNISON                             2.335 AVY     053611109Q    56.5300        72,400.00      4,155,706.48      4,092,772.00
AVON PRODUCTS                              1.634 AVP     054303102Q    46.5000       195,000.00      5,317,464.06      9,067,500.00
BAKER HUGHES CORP                          1.261 BHI     057224107Q    36.4700        41,000.00      1,512,084.10      1,495,270.00
BANK OF NEW YORK CO, INC                   1.764 BK      064057102Q    40.8000       741,000.00     26,281,635.91     30,232,800.00
BAXTER INTL                                1.081 BAX     071813109Q    53.6300       591,000.00     16,916,738.70     31,695,329.99
BED BATH & BEYOND INC                      0.000 BBBY    075896100     33.9000       317,000.00      6,071,531.27     10,746,300.00
BEST BUY COMPANY INC                       0.000 BBY     086516101     74.4800       180,000.00      7,441,510.13     13,406,400.00
BIOGEN INC.                                0.000 BGEN    090597105     57.3500       157,900.00      7,625,157.20      9,055,565.00
BIOMET INC.                                0.000 BMET    090613100     30.9000       185,000.00      2,764,410.40      5,716,500.00
BOSTON SCIENTIFIC CORP.                    0.000 BSX     101137107     24.1200       381,000.00      8,738,140.17      9,189,720.00
BRISTOL-MYERS SQUIBB                       2.156 BMY     110122108Q    51.0000     1,831,000.00     81,515,181.06     93,381,000.01
CALPINE CORPORATION                        0.000 CPN     131347106     16.7900       141,000.00      3,799,718.27      2,367,389.99
CAMPBELL SOUP CO.                          2.109 CPB     134429109Q    29.8700       300,000.00     10,539,649.95      8,961,000.00
CARDINAL HEALTH INC.                       0.154 CAH     14149Y108Q    64.6600       407,999.50     15,160,030.79     26,381,247.67
CENDANT CORP.                              0.000 CD      151313103     19.6100       150,000.00      2,603,700.00      2,941,500.00
CHIRON CORP                                0.000 CHIR    170040109     43.8400       147,500.00      3,740,566.76      6,466,400.00
CINTAS CORP                                0.458 CTAS    172908105     48.0000       116,000.00      4,499,304.30      5,568,000.00
CIRRUS LOGIC INC                           0.000 CRUS    172755100     13.2200       130,000.00        988,829.79      1,718,600.00
CISCO SYSTEMS                              0.000 CSCO    17275R102     18.1100     6,880,000.00    206,674,916.83    124,596,800.00
CITRIX SYSTEMS INC                         0.000 CTXS    177376100     22.6600       213,000.00      7,677,777.59      4,826,580.00
CLOROX COMPANY                             2.123 CLX     189054109Q    39.5500       149,077.00      6,331,482.91      5,895,995.35
COCA COLA CO.                              1.527 KO      191216100Q    47.1500     2,338,300.00    134,660,234.42    110,250,845.00
COLGATE PALMOLIVE                          1.246 CL      194162103Q    57.7500       481,500.00     16,138,265.32     27,806,625.00
CONCORD EFS INC.                           0.000 CEFT    206197105     32.7800       570,000.00     10,526,730.69     18,684,600.01
CONVERGYS CORPORATION                      0.000 CVG     212485106     37.4900       247,000.00      8,131,290.32      9,260,029.99
