ASOF02   Date 01/24/2002 Time 21:29:20   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 029

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - IND       LARGE CAP SELECT
Instrument - COM       COMMON STOCK

TIFFANY & CO                               0.508 TIF     886547108     31.4700        93,900.00      2,977,184.35      2,955,033.00
TJX COS. INC.                              0.451 TJX     872540109Q    39.8600       177,400.00      5,850,049.90      7,071,163.99
TMP WORLDWIDE INC                          0.000 TMPW    872941109     42.9000        82,400.00      5,018,118.10      3,534,960.00
TOYS R US INC.                             0.000 TOY     892335100     20.7400       134,100.00      3,007,598.06      2,781,234.01
TRIBUNE CO                                 1.175 TRB     896047107Q    37.4300       153,900.00      5,611,591.13      5,760,477.02
TRICON GLOBAL RESTAURANTS-WI               0.000 YUM     895953107     49.2000        85,200.00      3,462,879.39      4,191,839.99
TRIQUENT SEMICONDUCTOR                     0.000 TQNT    89674K103     12.2600       365,351.00      7,629,626.72      4,479,203.24
TRW INC.                                   1.889 TRW     872649108Q    37.0400        92,000.00      4,223,641.96      3,407,680.00
TXU CORPORATION                            5.090 TXU     873168108Q    47.1500       176,600.00      6,444,121.21      8,326,690.00
TYCO INT’L. LTD NEW                        0.084 TYC     902124106Q    58.9000     1,342,500.00     41,241,347.65     79,073,249.98
UNILEVER UN                                1.909 UN      904784709S    57.6100       337,021.00     16,805,895.00     19,415,779.81
UNION PACIFIC CORP.                        1.403 UNP     907818108Q    57.0000       193,300.00      9,333,490.26     11,018,100.00
UNISYS CORP.                               0.000 UIS     909214108     12.5400       213,200.00      2,049,939.95      2,673,528.00
UNITED STATES STEEL CORP.                  2.208 X       912909108Q    18.1100       101,800.00      2,090,613.60      1,843,598.01
UNITED TECHNOLOGIES                        1.392 UTX     913017109Q    64.6300       304,890.00     12,592,983.31     19,705,040.70
UNITEDHEALTH GROUP INC                     0.042 UNH     91324P102A    70.7700       256,100.00      7,830,492.42     18,124,197.01
UNIVISION COMMUNICATIONS                   0.000 UVN     914906102     40.4600       158,100.00      5,456,727.75      6,396,726.00
UNOCAL                                     2.217 UCL     915289102Q    36.0700        55,200.00      1,489,659.84      1,991,064.00
UNUMPROVIDENT CORP.                        2.225 UNM     91529Y106Q    26.5100       164,200.00      5,238,706.56      4,352,942.00
US BANCORP                                 3.583 USB     902973304     20.9300     1,276,350.00     31,417,697.64     26,714,005.50
UST INC.                                   5.257 UST     902911106Q    35.0000        49,400.00      1,431,402.50      1,729,000.02
V F CORP                                   2.460 VFC     918204108Q    39.0100        13,100.00        391,614.36        511,031.00
VERITAS SOFTWARE CORPORATION               0.000 VRTS    923436109     44.8300       274,289.00      8,091,122.71     12,296,375.88
VERIZON COMMUNICATIONS                     3.244 VZ      92343V104Q    47.4600     1,835,100.00     68,822,364.93     87,093,845.99
VIACOM INC-CLASS B                         0.000 VIA.B   925524308     44.1500     1,212,375.00     41,274,751.68     53,526,356.25
VISTEON CORP                               1.595 VC      92839U107     15.0400       106,064.00      1,348,657.58      1,595,202.57
VITESSE SEMICONDUCTOR CORP                 0.000 VTSS    928497106     12.4300       227,600.00      7,014,537.57      2,829,068.00
VULCAN MATERIALS CO                        1.877 VMC     929160109     47.9400        67,500.00      2,373,632.73      3,235,950.00
WACHOVIA CORP.- NEW                        3.061 WB      929903102Q    31.3600       844,400.00     34,117,466.42     26,480,384.00
WAL MART STORES INC                        0.486 WMT     931142103Q    57.5500     2,616,500.00     47,369,311.31    150,579,575.01
WALGREEN CO.                               0.445 WAG     931422109Q    33.6600       675,700.00     11,888,216.48     22,744,061.99
WASHINGTON MUTUAL INC.                     2.935 WM      939322103     32.7000       522,100.00     13,705,833.33     17,072,670.00
WASTE MANAGEMENT INC.                      0.031 WMI     94106L109     31.9100       473,800.00     17,972,703.61     15,118,958.00
WATERS CORPORATION                         0.000 WAT     941848103     38.7500        87,000.00      3,200,238.18      3,371,249.99
WELLPOINT HEALTH NETWORKS                  0.000 WLP     94973H108    116.8500        42,500.00      3,314,066.69      4,966,125.01
WELLS FARGO COMPANY                        2.393 WFC     949746101     43.4500     1,274,200.00     28,831,350.44     55,363,990.00
WENDY’S INTL                               0.822 WEN     950590109Q    29.1700        79,100.00      1,800,297.74      2,307,347.01
WEYERHAEUSER CO.                           2.958 WY      962166104Q    54.0800       167,900.00      8,057,435.07      9,080,031.99
WHIRLPOOL CORP                             1.854 WHR     963320106Q    73.3300        49,900.00      2,525,662.58      3,659,166.99
