ASOF02   Date 01/24/2002 Time 21:29:15   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2001 To 12/31/2001  Page 012

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - VAP       LARGE CAP VALUE PASS
Instrument - COM       COMMON STOCK

DTE ENERGY COMPANY                         4.911 DTE     233331107Q    41.9400        49,104.00      1,563,415.84      2,059,421.76
DUKE ENERGY CORPORATION                    2.801 DUK     264399106Q    39.2600       234,196.00      6,687,366.84      9,194,534.96
DYNEGY INC                                 1.176 DYN     26816Q101     25.5000       105,900.00      2,138,818.99      2,700,450.00
E I DUPONT DE NEM.                         3.293 DD      263534109Q    42.5100       309,369.00     18,702,289.63     13,151,276.19
EASTMAN CHEMICAL CO.                       4.510 EMN     277432100Q    39.0200        23,302.00      1,375,640.03        909,244.04
EASTMAN KODAK                              6.116 EK      277461109Q    29.4300        87,773.00      5,877,002.32      2,583,159.39
EATON CORP.                                2.365 ETN     278058102Q    74.4100        20,918.00      1,570,526.72      1,556,508.38
EL PASO CORP                               1.905 EP      28336L109     44.6100       153,964.00      5,057,473.17      6,868,334.04
EMERSON ELECTRIC CO                        2.714 EMR     291011104Q    57.1000       129,073.00      3,908,077.30      7,370,068.30
ENGELHARD CORP.                            1.445 EC      292845104Q    27.6800        39,225.00        688,025.64      1,085,748.00
ENTERGY CORP.                              3.375 ETR     29364G103Q    39.1100        66,652.00      1,730,476.99      2,606,759.72
EOG RESOURCES INC                          0.409 EOG     26875P101     39.1100        34,800.00      1,463,703.80      1,361,028.00
EXELEON CORP                               3.529 EXC     30161N101Q    47.8800        96,800.00      3,428,984.61      4,634,784.00
EXXON MOBIL CORPORATION                    2.341 XOM     30231G102Q    39.3000     2,064,156.00     46,167,041.41     81,121,330.80
FEDERATED DEPARTMENT STORES                0.000 FD      31410H101     40.9000        58,087.00      2,625,755.72      2,375,758.30
FEDEX CORPORATION                          0.000 FDX     31428X106     51.8800        90,028.00      3,409,231.99      4,670,652.64
FIRST ENERGY CORP.                         4.288 FE      337932107Q    34.9800        89,803.00      2,158,511.14      3,141,308.94
FLEETBOSTON FINANCIAL CORP                 3.835 FBF     339030108Q    36.5000       315,394.00      9,542,085.85     11,511,881.00
FLUOR CORP (NEW)                           1.711 FLR     343412102     37.4000        24,200.00        929,252.62        905,080.01
FORD MOTOR COMPANY                         3.816 F       345370860     15.7200       546,470.00     13,581,254.69      8,590,508.40
FORTUNE BRANDS INC.                        2.525 FO      349631101Q    39.5900        44,772.00      1,479,599.77      1,772,523.48
FPL GROUP INC.                             3.971 FPL     302571104Q    56.4000        53,133.00      3,168,545.59      2,996,701.20
FRANKLIN RESOURCES INC                     0.737 BEN     354613101Q    35.2700        78,677.00      2,569,345.79      2,774,937.79
FREDDIE MAC                                1.223 FRE     313400301Q    65.4000       209,674.00      9,096,186.76     13,712,679.60
FREEPORT MCMORAN CLASS B                   0.000 FCX     35671D857     13.3900        43,400.00        576,920.88        581,126.00
GANNETT INC                                1.368 GCI     364730101Q    67.2300        79,912.00      3,784,286.04      5,372,483.76
GAP INC                                    0.645 GPS     364760108Q    13.9400       260,300.00      7,541,238.90      3,628,582.00
GATEWAY INC.                               0.000 GTW     367626108      8.0400        97,800.00      5,628,961.59        786,312.00
GENERAL DYNAMICS CORP.                     1.406 GD      369550108Q    79.6400        60,937.00      2,930,379.71      4,853,022.68
GENERAL MOTORS CORP                        4.115 GM      370442105Q    48.6000       167,573.00      9,223,559.46      8,144,047.80
GENUINE PARTS CO                           3.106 GPC     372460105Q    36.7000        52,315.00      1,660,490.83      1,919,960.50
GEORGIA PACIFIC                            1.810 GP      373298108Q    27.6100        69,264.00      2,668,185.36      1,912,379.04
GOLDEN WEST FINANCIAL CORP                 0.492 GDW     381317106Q    58.8500        47,620.00      1,487,466.82      2,802,437.00
GOODRICH CORP.                             4.132 GR      382388106Q    26.6200        30,762.00        847,408.52        818,884.44
GOODYEAR T & R                             2.016 GT      382550101Q    23.8100        49,196.00      2,891,218.46      1,171,356.76
GRAINGER W W INC                           1.458 GWW     384802104Q    48.0000        28,232.00      1,389,094.65      1,355,136.00
GREAT LAKES CHEMICAL CORP.                 1.318 GLK     390568103Q    24.2800        15,130.00        662,416.88        367,356.40
HALLIBURTON COMPANY                        3.816 HAL     406216101Q    13.1000       129,600.00      4,041,152.02      1,697,760.01
HARRAH’S ENTERTAINMENT INC.                0.000 HET     413619107     37.0100        33,894.00        758,583.30      1,254,416.94
