ASOF02   Date 01/21/2005 Time 18:34:33   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 029

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - RMV       MID-CAP VALUE (Q)
Instrument - COM       COMMON STOCK

SCIENTIFIC ATLANTA INC.                    0.121 SFA     808655104Q    33.0100       248,400.00      7,173,263.55      8,199,684.00
SCOTTS COMPANY                             0.000 SMG     810186106     73.5200        27,200.00      1,679,143.70      1,999,744.00
SEARS ROEBUCK & CO.                        1.802 S       812387108Q    51.0300       396,100.00     16,879,612.24     20,212,983.00
SEMPRA ENERGY                              2.726 SRE     816851109     36.6800       403,300.00     11,822,540.75     14,793,044.00
SERVICE CORP INTERNATIONAL                 4.832 SCI     817565104Q     7.4500       857,400.00      3,895,426.10      6,387,630.00
SHERWIN-WILLIAMS CO                        1.523 SHW     824348106Q    44.6300       233,400.00      7,027,917.83     10,416,642.00
SIEBEL SYSTEMS INC.                        0.000 SEBL    826170102     10.5000       160,700.00      1,800,107.53      1,687,350.00
SIGMA-ALDRICH                              1.124 SIAL    826552101Q    60.4600        86,000.00      3,206,388.77      5,199,560.00
SIRIUS SATELLITE RADIO INC.                0.000 SIRI    82966U103      7.6500     1,272,900.00      4,267,513.82      9,737,685.00
SKY FINL GROUP INC                         3.069 SKYF    83080P103     28.6700       167,689.00      4,177,030.98      4,807,643.63
SMITHFIELD FOODS INC                       0.000 SFD     832248108     29.5900       137,700.00      3,577,524.32      4,074,543.00
SMURFIT-STONE CONTAINER CORPOR             0.000 SSCC    832727101     18.6800       259,800.00      4,146,450.40      4,853,064.00
SNAP-ON TOOLS CORP.                        2.910 SNA     833034101Q    34.3600        94,300.00      2,730,268.19      3,240,148.00
SONOCO PRODUCTS CO                         2.968 SON     835495102     29.6500       158,800.00      3,986,993.10      4,708,420.00
SOUTH FINANCIAL GROUP, INC                 1.967 TSFG    837841105     32.5300       114,600.00      3,303,217.92      3,727,938.00
SOUTHERN PERU COPPER CORP                  6.985 PCU     843611104     47.2100        56,300.00      2,222,628.40      2,657,923.00
SOUTHWEST AIRLINES                         0.110 LUV     844741108Q    16.2800        58,900.00        863,496.78        958,892.00
SOVEREIGN BANCORP INC                      0.532 SOV     845905108     22.5500       422,002.00      6,689,722.59      9,516,145.09
SPX CORP.                                  2.496 SPW     784635104Q    40.0600        37,900.00      1,700,704.43      1,518,274.00
STANCORP FINANCIAL GROUP                   1.212 SFG     852891100     82.5000        80,500.00      4,576,462.62      6,641,250.00
STANDARD-PACIFIC CORP                      0.498 SPF     85375C101     64.1400        92,500.00      4,174,214.22      5,932,950.00
STANLEY WORKS                              2.286 SWK     854616109Q    48.9900       161,700.00      6,516,447.10      7,921,683.00
STARWOOD RESORTS                           1.438 HOT     85590A203     58.4000       154,200.00      4,560,118.01      9,005,280.00
STEELCASE INC                              1.734 SCS     858155203     13.8400       226,600.00      3,060,283.37      3,136,144.00
STORAGE TECHNOLOGY CORP                    0.000 STK     862111200     31.6100       187,200.00      4,631,701.91      5,917,392.00
STUDENT LN CORP                            1.956 STU     863902102    184.0000         6,500.00        894,893.98      1,196,000.00
SUNOCO, INC.                               1.468 SUN     86764P109Q    81.7100       151,700.00      7,124,414.27     12,395,407.00
SUPER VALU STORES INC.                     1.767 SVU     868536103Q    34.5200       302,600.00      7,202,060.25     10,445,752.00
SYBASE INC.                                0.000 SY      871130100     19.9500       249,300.00      4,133,099.21      4,973,535.00
SYNOVUS FINANCIAL CORP                     2.424 SNV     87161C105     28.5800       141,900.00      3,688,062.99      4,055,502.00
TCF FINANCIAL CORP                         2.644 TCB     872275102     32.1400        26,800.00        765,037.52        861,352.00
TECH DATA CORP                             0.000 TECD    878237106     45.4000       144,200.00      5,101,602.59      6,546,680.00
TECO ENERGY                                4.954 TE      872375100Q    15.3400       323,500.00      4,489,023.24      4,962,490.00
TEKTRONIX, INC.                            0.794 TEK     879131100Q    30.2100        89,200.00      2,871,029.75      2,694,732.00
TELEFLEX INC                               1.694 TFX     879369106Q    51.9400        57,700.00      2,545,851.08      2,996,938.00
TELEPHONE & DATA                           0.857 TDS     879433100     76.9500        45,200.00      3,201,504.98      3,478,140.00
TELLABS INC.                               0.000 TLAB    879664100      8.5900       588,545.00      5,700,028.23      5,055,601.55
TEMPLE-INLAND INC.                         2.105 TIN     879868107Q    68.4000        89,800.00      5,359,278.43      6,142,320.00
TENET HEALTHCARE CORP                      0.000 THC     88033G100     10.9800       755,000.00     11,977,377.18      8,289,900.00
