ASOF02   Date 01/21/2005 Time 18:34:36   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 042

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - QN1       QUANTITATIVE 1000 (Q
Instrument - COM       COMMON STOCK

GENERAL MOTORS CORP                        4.992 GM      370442105Q    40.0600       179,400.00      8,345,448.28      7,186,764.00
GEORGIA PACIFIC                            1.334 GP      373298108Q    37.4800       158,700.00      4,621,537.80      5,948,076.00
GILEAD SCIENCES INC.                       0.000 GILD    375558103     34.9900       188,000.00      5,254,698.71      6,578,120.00
GILLETTE CO                                1.451 G       375766102Q    44.7800       277,800.00     10,039,282.02     12,439,884.00
GOLDMAN SACHS GROUP INC                    0.961 GS      38141G104    104.0400        74,800.00      6,033,658.10      7,782,192.00
GOOGLE INC - CL A                          0.000 GOOG    38259P508    193.1000         3,600.00        472,140.36        695,160.00
GRACO INC.                                 1.392 GGG     384109104     37.3500       131,200.00      4,031,017.36      4,900,320.00
GTECH HOLDINGS CORP                        1.310 GTK     400518106     25.9500       180,200.00      4,403,485.14      4,676,190.00
GUIDANT CORP.                              0.554 GDT     401698105Q    72.1000        29,700.00      1,124,606.11      2,141,370.00
H & R BLOCK INC.                           1.795 HRB     093671105Q    49.0000       110,500.00      5,007,553.46      5,414,500.00
HARLEY-DAVIDSON INC                        0.823 HDI     412822108Q    60.7500       120,100.00      5,836,729.41      7,296,075.00
HARMAN INTERNATIONAL                       0.039 HAR     413086109    127.0000         4,000.00        216,486.31        508,000.00
HARRIS CORP.                               0.776 HRS     413875105Q    61.7900        85,900.00      3,961,645.61      5,307,761.00
HARTFORD FINL SERVICES                     1.673 HIG     416515104     69.3100       117,100.00      6,689,870.76      8,116,201.00
HAWAIIAN ELECTRIC INDS                     4.253 HE      419870100     29.1500        70,200.00      1,731,278.13      2,046,330.00
HEALTH NET                                 0.000 HNT     42222G108     28.8700       181,300.00      4,720,030.88      5,234,131.00
HEINZ H. J. CO.                            2.923 HNZ     423074103Q    38.9900       173,300.00      6,183,881.54      6,756,967.00
HERSHEY FOODS CORP.                        1.584 HSY     427866108Q    55.5400       116,800.00      4,646,066.49      6,487,072.00
HEWLETT-PACKARD CO                         1.526 HPQ     428236103Q    20.9700       748,600.00     16,030,124.88     15,698,142.00
HIBERNIA CORP CL-A                         2.710 HIB     428656102     29.5100       179,500.00      4,150,448.45      5,297,045.00
HOME DEPOT INC.                            0.795 HD      437076102Q    42.7400       497,700.00     14,415,012.60     21,271,698.00
HONEYWELL INTERNATIONAL INC                2.329 HON     438516106Q    35.4100       139,500.00      5,513,069.05      4,939,695.00
HUMANA INC.                                0.000 HUM     444859102     29.6900       229,000.00      4,331,994.72      6,799,010.00
IAC/INTERACTIVE CORP                       0.000 IACI    44919P102     27.6200             9.00            362.69            248.58
IKON OFFICE SOLUTIONS INC.                 1.384 IKN     451713101Q    11.5600       368,900.00      4,024,279.09      4,264,484.00
ILLINOIS TOOL WORKS                        1.208 ITW     452308109Q    92.6800         4,300.00        221,997.65        398,524.00
IMCLONE SYSTEMS                            0.000 IMCL    45245W109     46.0800         3,600.00        150,690.07        165,888.00
IMS HEALTH INC.                            0.344 RX      449934108     23.2100       212,900.00      4,695,310.73      4,941,409.00
INGRAM MICRO INC CL A                      0.000 IM      457153104     20.8000       279,100.00      4,368,701.18      5,805,280.00
INTEL CORP.                                1.368 INTC    458140100Q    23.3900     1,365,800.00     28,853,304.37     31,946,062.00
INTL BUS MACH CORP                         0.730 IBM     459200101Q    98.5800       350,300.00     26,178,851.19     34,532,574.00
INTUIT INC.                                0.000 INTU    461202103     44.0100        74,200.00      3,038,576.12      3,265,542.00
ITT INDUSTRIES INC                         0.805 ITT     450911102     84.4500        67,200.00      4,751,897.81      5,675,040.00
J C PENNEY INC                             1.207 JCP     708160106Q    41.4000       153,600.00      5,065,887.48      6,359,040.00
JANUS CAPITAL GROUP INC                    0.238 JNS     47102X105     16.8100       344,500.00      4,889,067.68      5,791,045.00
JEFFERSON PILOT                            2.925 JP      475070108Q    51.9600       106,500.00      4,870,802.81      5,533,740.00
JOHNSON & JOHNSON                          1.797 JNJ     478160104Q    63.4200       603,900.00     21,664,546.34     38,299,338.00
JONES APPAREL GROUP INC                    1.093 JNY     480074103     36.5700        30,500.00        947,925.09      1,115,385.00
JPMORGAN CHASE & CO.                       3.486 JPM     46625H100Q    39.0100       540,800.00     17,670,377.15     21,096,608.00
