ASOF02   Date 01/21/2005 Time 18:34:52   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 113

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK - EXTERNALLY MANAGED
Portfolio  - 5GS       GOLDMAN SACHS - 1000
Instrument - COM       COMMON STOCK

LIMITED BRANDS INC.                        2.085 LTD     532716107Q    23.0200        32,100.00        774,778.44        738,942.00
LINCOLN NATIONAL CORP                      3.127 LNC     534187109Q    46.6800        50,100.00      2,282,241.60      2,338,668.00
LOEWS CORP                                 0.853 LTR     540424108Q    70.3000        74,300.00      3,454,828.61      5,223,290.00
LOUISIANNA PACIFIC                         1.495 LPX     546347105Q    26.7400        50,300.00      1,143,459.12      1,345,022.00
LUBRIZOL CORP                              2.821 LZ      549271104     36.8600        48,000.00      1,629,523.30      1,769,280.00
MANOR CARE INC.                            1.580 HCR     564055101     35.4300        21,100.00        741,721.57        747,573.00
MASCO CORP.                                1.971 MAS     574599106Q    36.5300        77,800.00      2,442,403.41      2,842,034.00
MBIA INC.                                  1.517 MBI     55262C100Q    63.2800        78,700.00      4,627,279.43      4,980,135.99
MBNA CORP                                  1.986 KRB     55262L100Q    28.1900        72,600.00      1,774,944.62      2,046,594.00
MCAFEE INC                                 0.000 MFE     579064106     28.9300        11,075.00        320,016.22        320,399.75
MCGRAW HILL INC                            1.310 MHP     580645109Q    91.5400        35,100.00      2,248,545.49      3,213,054.00
MCKESSON CORP                              0.762 MCK     58155Q103Q    31.4600        55,000.00      1,596,864.16      1,730,300.00
MERCK & CO INC                             4.729 MRK     589331107Q    32.1400       229,100.00      9,387,798.84      7,363,274.00
MERRILL LYNCH & CO. INC.                   1.070 MER     590188108Q    59.7700        63,800.00      2,876,008.78      3,813,326.00
METLIFE INC                                1.135 MET     59156R108     40.5100       131,800.00      3,442,177.26      5,339,218.00
MICROCHIP TECHNOLOGY INC.                  0.780 MCHP    595017104     26.6600        45,100.00      1,292,232.08      1,202,366.00
MICRON TECHNOLOGY INC                      0.000 MU      595112103Q    12.3500       398,700.00      4,972,927.57      4,923,945.00
MICROSOFT CORP.                            1.198 MSFT    594918104     26.7100       677,800.00     22,537,722.69     18,104,038.00
MONSANTO COMPANY                           1.224 MON     61166W101     55.5500        99,100.00      2,900,880.39      5,505,005.00
MOODY'S CORPORATION                        0.345 MCO     615369105     86.8500        60,900.00      3,003,409.06      5,289,165.00
MOTOROLA INC                               0.930 MOT     620076109Q    17.2000       406,800.00      7,835,391.22      6,996,960.00
NATIONAL CITY CORP                         3.728 NCC     635405103Q    37.5500        34,600.00      1,067,586.13      1,299,230.00
NATIONAL SEMICONDUCTOR CORP.               0.445 NSM     637640103     17.9500        96,700.00      1,320,631.18      1,735,765.00
NATIONWIDE FINANCIAL SERVICE               1.883 NFS     638612101     38.2300        45,900.00      1,404,483.71      1,754,757.00
NCR CORPORATION                            0.000 NCR     62886E108     69.2300        23,300.00      1,347,877.04      1,613,059.00
NEENAH PAPER INC                           0.000 NP      640079109     32.6000           418.00         13,904.07         13,626.80
NEWMONT MNG. CORP. HLDG CO                 0.900 NEM     651639106Q    44.4100        14,600.00        549,151.26        648,386.00
NORFOLK SOUTHERN CORP.                     1.105 NSC     655844108Q    36.1900        74,200.00      2,513,324.66      2,685,298.00
NORTH FORK BANK                            3.050 NFB     659424105     28.8500        27,050.00        732,413.29        780,392.50
NORTHEAST UTILITIES                        3.448 NU      664397106     18.8500        50,600.00        957,699.79        953,810.00
NORTHROP GRUMMAN CORP.                     1.692 NOC     666807102Q    54.3600       100,100.00      5,485,382.24      5,441,436.00
NUCOR CORP                                 0.993 NUE     670346105Q    52.3400        92,300.00      4,054,740.27      4,830,982.00
NVR INC                                    0.000 NVR     62944T105    769.4000         2,750.00      1,167,180.04      2,115,850.00
OCCIDENTAL PETROLEUM CORP.                 1.884 OXY     674599105Q    58.3600        87,700.00      3,712,574.45      5,118,172.00
OFFICE DEPOT INC                           0.000 ODP     676220106     17.3600        39,700.00        531,507.47        689,192.00
PACIFIC GAS & ELEC. CO.                    0.000 PCG     69331C108Q    33.2800        72,600.00      2,245,955.46      2,416,128.00
PARKER-HANNIFIN CORP.                      1.003 PH      701094104Q    75.7400        11,800.00        882,020.50        893,732.00
PEPSICO INC.                               1.762 PEP     713448108Q    52.2000        26,400.00      1,127,769.42      1,378,080.00
PFIZER INC.                                2.826 PFE     717081103Q    26.8900       633,220.00     16,149,390.78     17,027,285.80
