ASOF02   Date 01/21/2005 Time 18:34:27   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 001

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - LCA       LARGE-CAP CORE ANALY
Instrument - COM       COMMON STOCK

3M COMPANY                                 1.754 MMM     88579Y101Q    82.0700       745,400.00     46,329,046.45     61,174,978.00
ABBOTT LABORATORIES                        2.229 ABT     002824100Q    46.6500     1,149,300.00     36,563,800.10     53,614,845.00
AETNA INC.                                 0.032 AET     00817Y108    124.7500       111,000.00      5,302,375.21     13,847,250.00
AFLAC INC                                  0.953 AFL     001055102     39.8400       110,000.00      4,228,895.00      4,382,400.00
AGILENT TECHNOLOGIES INC                   0.000 A       00846U101     24.1000       350,000.00     11,312,745.70      8,435,000.00
ALCOA INC.                                 1.909 AA      013817101Q    31.4200     1,211,100.00     34,168,598.82     38,052,762.00
ALLSTATE CORP                              2.165 ALL     020002101Q    51.7200       972,100.00     36,793,172.42     50,277,012.00
ALLTEL CORP                                2.586 AT      020039103Q    58.7600       189,600.00     10,478,250.28     11,140,896.00
ALTRIA GROUP INC                           4.779 MO      02209S103Q    61.1000     1,489,400.00     53,158,382.05     91,002,340.00
AMAZON COM INC                             0.000 AMZN    023135106     44.2900       136,900.00      6,253,687.39      6,063,301.00
AMERICAN ELECTRIC POWER                    4.076 AEP     025537101Q    34.3400       260,700.00      8,318,686.56      8,952,438.00
AMERICAN INTL GROUP                        0.761 AIG     026874107Q    65.6700     1,636,300.00     76,718,843.25    107,455,821.00
AMGEN INC                                  0.000 AMGN    031162100     64.1500       948,791.00     33,198,222.35     60,864,942.65
ANALOG DEVICES                             0.650 ADI     032654105     36.9200     1,010,100.00     45,855,180.80     37,292,892.00
ANHEUSER-BUSCH                             1.931 BUD     035229103Q    50.7300       600,000.00     26,896,009.34     30,438,000.00
APPLIED MATERIALS INC.                     0.000 AMAT    038222105     17.1000     3,177,600.00     64,943,291.03     54,336,960.00
AT&T CORPORATION                           4.984 T       001957505Q    19.0600       485,000.00      7,854,474.00      9,244,100.00
AUTOMATIC DATA PROC.                       1.398 ADP     053015103Q    44.3500       215,400.00      8,249,408.10      9,552,990.00
AVON PRODUCTS                              1.447 AVP     054303102Q    38.7000       358,700.00     14,951,476.88     13,881,690.00
BAE SYSTEMS PLC-ADR                        3.847 BAESY   05523R107     17.7020       420,000.00      6,277,631.25      7,434,840.00
BANK OF AMERICA CORP.                      3.830 BAC     060505104Q    46.9900     3,261,614.00     97,040,375.82    153,263,241.86
BANK OF NEW YORK CO, INC                   2.393 BK      064057102Q    33.4200       786,600.00     24,477,996.08     26,288,172.00
BAXTER INTL                                1.685 BAX     071813109Q    34.5400       770,200.00     21,182,264.64     26,602,708.00
BB&T CORPORATION                           3.329 BBT     054937107     42.0500       187,700.00      6,661,891.81      7,892,785.00
BECTON DICKINSON & COMPANY                 1.267 BDX     075887109Q    56.8000        81,600.00      3,048,648.67      4,634,880.00
BELLSOUTH                                  3.886 BLS     079860102Q    27.7900     1,349,200.00     42,869,829.73     37,494,268.00
BEST BUY COMPANY INC                       0.740 BBY     086516101     59.4200       403,600.00     19,330,291.80     23,981,912.00
BIOGEN IDEC INC                            0.000 BIIB    09062X103     66.6100       247,000.00      9,542,709.92     16,452,670.00
BOSTON SCIENTIFIC CORP.                    0.000 BSX     101137107     35.5500       880,600.00     25,354,982.26     31,305,330.00
BRISTOL-MYERS SQUIBB                       4.371 BMY     110122108Q    25.6200     1,140,000.00     26,945,324.79     29,206,800.00
BROADCOM CORP CL A                         0.000 BRCM    111320107     32.2800       181,000.00     21,798,052.60      5,842,680.00
CAPITAL ONE FINANCIAL CORP.                0.127 COF     14040H105     84.2100       161,500.00      7,490,445.62     13,599,915.00
CARDINAL HEALTH INC.                       0.206 CAH     14149Y108Q    58.1500       278,200.00     12,794,410.40     16,177,330.00
CAREMARK RX INC                            0.000 CMX     141705103     39.4300       337,000.00      7,617,325.35     13,287,910.00
CATERPILLAR INC.                           1.681 CAT     149123101Q    97.5100        78,400.00      3,587,435.44      7,644,784.00
CENDANT CORP.                              1.539 CD      151313103     23.3800     1,009,200.00     22,653,433.59     23,595,096.00
CHARTER COMMUNICATIONS                     0.000 CHTR    16117M107      2.2400     3,000,000.00      9,953,364.38      6,720,000.00
CHEVRONTEXACO CORP                         3.047 CVX     166764100Q    52.5100     1,933,400.00     70,816,252.21    101,522,834.00
CHUBB CORP                                 2.028 CB      171232101Q    76.9000       477,800.00     30,493,017.46     36,742,820.00
