ASOF02   Date 01/21/2005 Time 18:34:35   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 035

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - LCP       LARGE-CAP PASSIVE (Q
Instrument - COM       COMMON STOCK

FIRST DATA CORP                            0.188 FDC     319963104Q    42.5400       671,900.00     18,994,749.85     28,582,626.00
FIRST ENERGY CORP.                         4.176 FE      337932107Q    39.5100       254,000.00      7,065,631.60     10,035,540.00
FORD MOTOR COMPANY                         2.732 F       345370860     14.6400     1,354,900.00     23,303,708.03     19,835,736.00
FOREST LABORATORIES INC.                   0.000 FRX     345838106     44.8600       283,200.00      7,599,047.52     12,704,352.00
FOX ENTERTAINMENT GRP INC. - C             0.000 FOX     35138T107     31.2600       145,600.00      4,303,090.17      4,551,456.00
FRANKLIN RESOURCES INC                     0.574 BEN     354613101Q    69.6500       123,000.00      4,456,620.63      8,566,950.00
FREDDIE MAC                                1.628 FRE     313400301Q    73.7000       530,200.00     24,476,922.08     39,075,740.00
GANNETT INC                                1.321 GCI     364730101Q    81.7000       196,700.00     10,582,711.56     16,070,390.00
GAP INC                                    0.421 GPS     364760108Q    21.1200       478,300.00      9,294,336.66     10,101,696.00
GENENTECH INC.                             0.000 DNA     368710406     54.4400       341,500.00     12,666,814.52     18,591,260.00
GENERAL DYNAMICS CORP.                     1.376 GD      369550108Q   104.6000       153,300.00      9,458,043.35     16,035,180.00
GENERAL ELECTRIC CO                        2.411 GE      369604103Q    36.5000     8,127,800.00    184,257,066.94    296,664,700.00
GENERAL MILLS INC                          2.494 GIS     370334104Q    49.7100       223,200.00      9,691,423.49     11,095,272.00
GENERAL MOTORS CORP                        4.992 GM      370442105Q    40.0600       356,500.00     17,913,376.96     14,281,390.00
GILEAD SCIENCES INC.                       0.000 GILD    375558103     34.9900       330,000.00      4,739,140.59     11,546,700.00
GILLETTE CO                                1.451 G       375766102Q    44.7800       772,800.00     26,316,942.50     34,605,984.00
GOLDEN WEST FINANCIAL CORP                 0.390 GDW     381317106Q    61.4200       192,000.00      5,186,361.42     11,792,640.00
GOLDMAN SACHS GROUP INC                    0.961 GS      38141G104    104.0400       252,000.00     19,359,062.50     26,218,080.00
GOOGLE INC - CL A                          0.000 GOOG    38259P508    193.1000        14,900.00      1,931,338.00      2,877,190.00
GUIDANT CORP.                              0.554 GDT     401698105Q    72.1000       241,500.00      8,622,415.24     17,412,150.00
HALLIBURTON COMPANY                        1.274 HAL     406216101Q    39.2400       338,900.00      7,207,219.87     13,298,436.00
HARLEY-DAVIDSON INC                        0.823 HDI     412822108Q    60.7500       227,300.00      8,747,340.50     13,808,475.00
HARTFORD FINL SERVICES                     1.673 HIG     416515104     69.3100       224,900.00     10,619,183.42     15,587,819.00
HCA INC                                    1.301 HCA     404119109     39.9600       357,900.00     11,196,791.64     14,301,684.00
HEINZ H. J. CO.                            2.923 HNZ     423074103Q    38.9900       271,100.00      9,359,134.79     10,570,189.00
HEWLETT-PACKARD CO                         1.526 HPQ     428236103Q    20.9700     2,350,000.00     52,563,832.67     49,279,500.00
HOME DEPOT INC.                            0.795 HD      437076102Q    42.7400     1,726,500.00     45,915,966.90     73,790,610.00
HONEYWELL INTERNATIONAL INC                2.329 HON     438516106Q    35.4100       661,700.00     26,574,759.00     23,430,797.00
IAC/INTERACTIVE CORP                       0.000 IACI    44919P102     27.6200       260,900.00     10,412,376.38      7,206,058.00
ILLINOIS TOOL WORKS                        1.208 ITW     452308109Q    92.6800       203,900.00     10,526,818.90     18,897,452.00
INTEL CORP.                                1.368 INTC    458140100Q    23.3900     4,980,900.00    105,060,172.18    116,503,251.00
INTERNATIONAL PAPER                        2.381 IP      460146103Q    42.0000       373,900.00     13,624,133.60     15,703,800.00
INTL BUS MACH CORP                         0.730 IBM     459200101Q    98.5800     1,297,900.00     94,336,446.71    127,946,982.00
INTL GAME TECHNOLOGY                       1.396 IGT     459902102     34.3800       268,700.00      5,127,203.94      9,237,906.00
JOHNSON & JOHNSON                          1.797 JNJ     478160104Q    63.4200     2,286,100.00     77,536,917.32    144,984,462.00
JPMORGAN CHASE & CO.                       3.486 JPM     46625H100Q    39.0100     2,744,044.00     89,660,050.02    107,045,156.44
KELLOGG CO.                                2.261 K       487836108Q    44.6600       187,800.00      6,358,230.31      8,387,148.00
KEYCORP                                    3.657 KEY     493267108Q    33.9000       316,000.00      8,066,716.15     10,712,400.00
KIMBERLY-CLARK CORP                        2.431 KMB     494368103Q    65.8100       386,100.00     18,788,563.47     25,409,241.00
