ASOF02   Date 01/21/2005 Time 18:34:36   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 040

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - QN1       QUANTITATIVE 1000 (Q
Instrument - COM       COMMON STOCK

BECTON DICKINSON & COMPANY                 1.267 BDX     075887109Q    56.8000       122,800.00      5,252,708.05      6,975,040.00
BELLSOUTH                                  3.886 BLS     079860102Q    27.7900       183,800.00      5,943,161.42      5,107,802.00
BERKLEY (WR) CORP                          0.593 BER     084423102     47.1700       109,800.00      4,513,761.29      5,179,266.00
BLACK & DECKER                             0.951 BDK     091797100Q    88.3300        66,900.00      4,680,663.67      5,909,277.00
BOEING CO                                  1.931 BA      097023105Q    51.7700       184,600.00      7,304,286.40      9,556,742.00
BOSTON SCIENTIFIC CORP.                    0.000 BSX     101137107     35.5500        15,900.00        242,142.19        565,245.00
BRISTOL-MYERS SQUIBB                       4.371 BMY     110122108Q    25.6200       516,200.00     16,108,268.49     13,225,044.00
BURLINGTON NORTHERN SANTA FE               1.437 BNI     12189T104Q    47.3100       170,500.00      5,761,625.36      8,066,355.00
BURLINGTON RESOURCES                       0.781 BR      122014103Q    43.5000       169,000.00      4,866,718.87      7,351,500.00
CABELAS INC                                0.000 CAB     126804301     22.7400         1,700.00         40,934.98         38,658.00
CABOT CORP                                 1.654 CBT     127055101     38.6800       118,000.00      4,375,538.39      4,564,240.00
CAREMARK RX INC                            0.000 CMX     141705103     39.4300             3.00             64.49            118.29
CATERPILLAR INC.                           1.681 CAT     149123101Q    97.5100        54,500.00      2,498,058.55      5,314,295.00
CENDANT CORP.                              1.539 CD      151313103     23.3800        38,400.00        686,361.11        897,792.00
CENTERPOINT ENERGY INC                     3.539 CNP     15189T107Q    11.3000       440,000.00      4,806,120.39      4,972,000.00
CENTEX CORP                                0.268 CTX     152312104Q    59.5800        95,600.00      3,967,620.81      5,695,848.00
CENTURYTEL, INC.                           0.648 CTL     156700106     35.4700       138,700.00      4,734,573.20      4,919,689.00
CEPHALON INC                               0.000 CEPH    156708109     50.8800         5,700.00        292,624.32        290,016.00
CHEVRONTEXACO CORP                         3.047 CVX     166764100Q    52.5100       458,600.00     17,517,949.97     24,081,086.00
CIGNA CORP.                                0.122 CI      125509109Q    81.5700        83,200.00      5,451,563.98      6,786,624.00
CIRCUIT CITY STORES                        0.447 CC      172737108Q    15.6400       240,500.00      3,582,714.04      3,761,420.00
CISCO SYSTEMS                              0.000 CSCO    17275R102     19.3000     1,436,600.00     29,677,886.26     27,726,380.00
CIT GROUP INC                              1.134 CIT     125581108     45.8200       144,700.00      4,749,878.29      6,630,154.00
CITIGROUP INC.                             3.653 C       172967101Q    48.1800       841,500.00     20,617,163.33     40,543,470.00
CLOROX COMPANY                             1.900 CLX     189054109Q    58.9300       101,500.00      5,062,343.06      5,981,395.00
COACH INC                                  0.000 COH     189754104     56.4000       126,900.00      4,184,359.34      7,157,160.00
COCA COLA CO.                              2.402 KO      191216100Q    41.6300       423,400.00     19,314,754.05     17,626,142.00
COLGATE PALMOLIVE                          1.876 CL      194162103Q    51.1600        45,600.00      1,812,054.31      2,332,896.00
COMCAST CORP - CL A                        0.000 CMCSA   20030N101     33.2800       242,300.00      7,402,466.73      8,063,744.00
COMPUTER SCIENCES                          0.000 CSC     205363104     56.3700        53,100.00      2,277,810.77      2,993,247.00
COMPUWARE CORP                             0.000 CPWR    205638109      6.4700       914,400.00      5,115,856.47      5,916,168.00
CONOCOPHILLIPS                             2.303 COP     20825C104Q    86.8300       171,100.00      9,578,286.61     14,856,613.00
CONSECO INC                                0.000 CNO     208464883     19.9500        73,200.00      1,377,759.55      1,460,340.00
CONVERGYS CORPORATION                      0.000 CVG     212485106     14.9900       151,800.00      2,188,331.93      2,275,482.00
CORINTHIAN COLLEGES INC                    0.000 COCO    218868107     18.8450           100.00          1,799.92          1,884.50
COUNTRYWIDE FINANCIAL CORP                 1.296 CFC     222372104Q    37.0100       204,000.00      5,147,251.70      7,550,040.00
COVENTRY HEALTH CARE INC.                  0.000 CVH     222862104     53.0800        90,600.00      4,062,070.93      4,809,048.00
D.R. HORTON INC.                           0.893 DHI     23331A109     40.3100       162,100.00      4,377,492.53      6,534,251.00
DANA CORP                                  2.769 DCN     235811106Q    17.3300       252,600.00      4,500,637.67      4,377,558.00
