ASOF11   Date 01/21/2005 Time 18:35:37   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 037

Monthly Market Portfolio

Investment Desc                              Yield     Identifier F Ticker      Shares              Cost              Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - INTERNATIONAL
Portfolio  - I-EAP     EMERGING ANALYST POR
Instrument - ICOM      INTERNATIONAL COMMON STOCKS

ACER INCORPORATED                            0.144     6005850      73834     1,925,750.00        2,640,334.88
ADVANCED INFO SERVICE                        0.102     6412591      ADVAN       586,000.00          700,130.65
AGORA SA                                     0.000     5618312      AGO_P        12,000.00          154,616.59
AKBANK T.A.S.                                0.000     4011127      AKBNK   250,000,000.00          483,496.15
AKSIGORTA                                    0.000     4012078      AKGRT   135,999,999.99          245,614.47
ALFA SA DE CV SER'                           0.132     2043423      ALFAA       410,000.00          756,786.54
ALUMINUM CORP OF CHINA (CHALCO)              0.268     6425395      2600_     1,435,700.00          250,322.21
AMERICA MOVIL SA                             0.037     2667470      AMXL_     3,050,000.00        1,698,848.39
ANGLO AMERICAN ORD                           0.077     6152972      AGL_S       380,000.00        5,738,316.49
ANGLO AMERICAN PLA                           0.575     6761000      AMS_S        25,000.00          985,452.04
ARCELIK A.S.                                 0.000     4051800      ARCLK    36,000,000.00          194,701.10
ASTRA AGRO LESTARI                           0.000     6092498      AALI_       150,000.00           25,793.94
AU OPTRONICS CORP                            0.082     6288190      2409_     1,145,000.00        2,033,551.65
BAJAJ AUTO LIMITED                           0.050     6124142      BJA_I        22,500.00          446,731.86
BANCO BRADESCO SA                            0.093     B00FM53      BBDC4       149,999.99        2,160,788.69
BANGKOK BANK THB10                           0.000     6077019      BBL/F       523,350.00        1,247,250.11
BANK LEUMI LE-ISRAEL                         1.395     6076425      LUMI_       400,000.00          772,139.86
BANK OF AYUDHYA PUBLIC WARRANTS              0.000     6689588      BAY/W       173,200.00           20,342.69
BANK PEKAO SA ORD                            1.089     5473113      PEO_P        31,000.00          739,168.20
BANPU PUBLIC CO                              0.080     6074849      BANPU       140,000.00          487,397.74
BARLOWORLD LIMITED                           0.635     6079123      BAW_S       210,000.00        1,709,696.50
BENQ CORP                                    0.157     6054465      2352_     2,107,600.00        2,136,008.76
BEZEQ ISRAEL TELCM                           0.362     6098032      BEZQ_       295,140.00          414,468.07
BHARAT HEAVY ELECTRICALS                     0.019     6129523      BHEL_        64,000.00          182,114.65
BIMANTARA CITRA ID                           0.000     6100465      BMTR_       231,000.00          149,195.93
BK HAPOALIM BM ILS                           1.542     6075808      POLI_       400,000.00        1,027,336.90
BK OF AYUDHYA THB                            0.000     6075949      BAY/F       433,000.00          148,082.82
BRASIL TELECOM PART SA                   1,068.104     2292645      BRTP3   100,000,000.00          744,583.72
BRASIL TELECOM PARTICIPACOES S/A           843.243     2292656      BRTP4    25,000,000.00          186,881.01
CEMEX SA PTG CERTS                           0.259     2406457      CEMEX       480,000.00        2,264,713.69
CEMIG CIA ENERG MG                       1,150.490     2192712      CMIG4    60,000,000.00        1,007,727.51
CENCOSUD                                     0.177     B012HW5      CSUDY        50,000.00          790,000.00
CESKE ENERGETICKE ZAVODY                     0.105     5624030      CEZ_C        88,000.00          237,640.06
CESKY TELECOM                                0.206     5272569      SPTT_       168,000.00        2,031,606.98
CHEIL JEDANG CORP                            0.002     6189516      00104        20,500.00          775,088.78
CHINA MOBILE HK LTD HKD 0.1                  0.195     6073556      941_H     2,336,000.00        7,980,035.10
CHINA RESOURCES CEMENT                       0.000     6653033      712_H       203,000.00          221,915.10
CHINA RESOURCES ENTERPRISES                  0.264     6972459      291_H     1,380,000.00        1,506,976.61
CHINA RESOURCES LAND                         0.263     6193766      1109_     7,600,000.00          863,367.60
