ASOF11   Date 01/21/2005 Time 18:35:38   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 044

Monthly Market Portfolio

Investment Desc                              Yield     Identifier F Ticker      Shares              Cost              Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - INTERNATIONAL
Portfolio  - I-PAN     INTERNAL EAFE TOPDOW
Instrument - ICOM      INTERNATIONAL COMMON STOCKS

FORTIS                                       4.608     7266139      FORB_       298,487.00        8,566,101.60
GKN ORSH 0.5GBP                              9.497     3064650      GKN_L        42,431.00          453,733.72
GLAXOSMITHKLINE                              6.598     0925288      GSK_L       230,279.00        5,296,791.48
GPE BRUX LAMBERT                             2.541     7097328      GBL_B        52,956.00        2,446,772.54
GROUP DANONE ORD                             2.450     B018SX1      BN_FP        11,662.00          747,235.07
HANG SENG BANK HK                            0.607     6408374      11_HK        33,800.00          421,926.71
HAW PAW CORP LTD S                           2.022     6415523      HPAR_        17,159.00           33,668.22
HITACHI Y50                                  0.014     6429104      6501_       380,000.00        3,640,545.01
HONDA MOTOR CO COM                           0.010     6435145      7267_        92,600.00        3,134,644.60
HONG KONG ELECTRIC HKD1                      0.619     6435327      6_HK        122,000.00          390,526.60
HSBC HOLDINGS ORD                           13.759     0540528      HSBA_       330,611.00        3,298,820.82
HUTCHISON TELECOMMUNICATIONS                 0.000     B032D70      2332_           906.00              670.06
HUTCHISON WHAMPOA                            0.305     6448068      13_HK        68,000.00          655,574.26
INBEV                                        1.285     4755317      INB_B        78,059.00        2,601,360.43
INDEPENDENT NEWS & MEDIA                     4.774     0461481      INWS_       266,112.00        1,021,733.98
ING GROEP NV NLG1                            5.983     7154182      INGA_        35,265.00        1,164,320.52
IRISH LIFE & PERMANENT                       5.170     0467865      IPM_I       133,281.00        1,261,382.00
ISS INTERNATIONAL                            0.239     5952816      ISS_D         8,100.00          458,963.13
KBC BANKVERZEKERIN                           2.958     4497749      KBC_B       124,533.00        6,118,670.93
KEPPEL CORP ORD SG                           1.424     6490263      KEP_S       268,100.00          592,651.92
KERRY GROUP PLC-A                            1.008     0490656      KYG_I        74,102.00          932,857.58
L''OREAL FRF10                               1.776     4057808      OR_FP         9,268.00          447,798.63
LLOYDS TSB GROUP O                          13.880     0870612      LLOY_       179,923.00        1,950,096.13
MATSUSHITA ELC IND                           0.009     6572707      6752_       233,000.00        4,870,895.67
MAYR-MELNHOF KARTO                           2.386     4563640      MAYR_        15,900.00          761,315.45
MITSUBISHI UFJ HOLDINGS INC                  0.005     6335171      8306_           434.00        6,402,421.75
MIZUHO FINANCIAL GROUP                       0.006     6591014      8411_           536.00        5,364,704.60
MUNCHENER RUCKVS                             1.881     5294121      MUV2_         3,100.00          650,776.30
NESTLE SA CHF                                2.128     7123870      NESN_        10,718.00        1,887,967.69
NIPPON TEL+TEL CP                            0.012     6641373      9432_           267.00        2,530,596.42
NOKIA(AB)OY EUR0.2                           3.508     5902941      NOK1V     1,183,976.00       16,472,410.26
NOMURA HOLDINGS, INC.                        0.013     6643108      8604_       221,000.00        4,149,560.04
NORSK HYDRO AS NOK                           0.381     4645805      NHY_N        63,980.00        2,426,565.74
NORSKE SKOGINDUSTRIER ASA                    0.756     7070396      NSG_N        26,435.00          400,663.30
NOVARTIS AG CHF 20                           1.611     7103065      NOVN_        76,799.00        2,812,071.77
NOVO NORDISK A/S-B                           0.268     7077524      NOVOB       118,285.00        2,833,243.79
NOVOZYMES A/S-B                              0.207     4658535      NZYMB        15,000.00          175,584.54
OEST ELEKTRIZITATS                           1.658     4661607      VER_A        35,600.00        4,788,089.02
OMV AG AUSH100                               2.452     4651459      OMV_A        47,500.00        4,069,913.60
