ASOF02   Date 01/21/2005 Time 18:34:39   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2004 To 12/31/2004  Page 057

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - QN2       QUANTITATIVE 2000 (Q
Instrument - COM       COMMON STOCK

CONMED CORPORATION                         0.000 CNMD    207410101     28.4200        40,437.00        834,099.21      1,149,219.54
CONNECTICUT WTR SVC                        3.171 CTWS    207797101     26.4900           400.00         10,505.48         10,596.00
CONNETICS CORP                             0.000 CNCT    208192104     24.2900        34,900.00        743,812.50        847,721.00
CONNS INC                                  0.000 CONN    208242107     16.8200         7,700.00        124,643.75        129,514.00
CONSOLIDATED GRAPHICS INC.                 0.000 CGX     209341106     45.9000        12,500.00        522,381.70        573,750.00
CONSOLIDATED-TOMOKA LAND CO                0.651 CTO     210226106     43.0000         6,300.00        164,204.73        270,900.00
CONTINENTAL AIRLINES INC - CLA             0.000 CAL     210795308     13.5400        47,800.00        689,483.44        647,212.00
COOPER TIRE & RUBBER                       1.949 CTB     216831107Q    21.5500        83,000.00      1,665,690.55      1,788,650.00
CORCEPT THERAPEUTICS INC                   0.000 CORT    218352102      6.2500         5,000.00         36,899.45         31,250.00
CORGENTECH INC                             0.000 CGTK    21872P105      8.2800         6,800.00         98,719.08         56,304.00
CORIXA COPR                                0.000 CRXA    21887F100      3.6400        65,700.00        287,224.20        239,148.00
CORN PRODUCTS INT'L INC.                   1.045 CPO     219023108     53.5600        45,100.00      1,226,712.41      2,415,556.00
CORNELL COMPANIES IN                       0.000 CRN     219141108     15.1800        14,800.00        181,317.57        224,664.00
CORRECTIONS CORP OF                        0.000 CXW     22025Y407     40.4500        44,700.00      1,233,538.81      1,808,115.00
CORUS BANKSHARES INC                       2.603 CORS    220873103     48.0100        21,900.00        667,579.74      1,051,419.00
CORVEL CORP                                0.000 CRVL    221006109     26.7800         7,000.00        249,700.61        187,460.00
COST PLUS INC                              0.000 CPWM    221485105     32.1300        18,100.00        642,575.53        581,553.00
COSTAR GROUP INC                           0.000 CSGP    22160N109     46.1800        13,100.00        535,218.33        604,958.00
COURIER CORP                               0.770 CRRC    222660102     51.9200         7,150.00        256,212.27        371,228.00
COVANSYS CORP                              0.000 CVNS    22281W103     15.3000        37,983.00        400,647.50        581,139.90
COVENANT TRANSPORT INC CL-A                0.000 CVTI    22284P105     20.8200         9,700.00        163,814.13        201,954.00
CRAY INC                                   0.000 CRAY    225223106      4.6600        95,200.00        712,142.00        443,632.00
CREDENCE SYSTEMS CORP                      0.000 CMOS    225302108      9.1500        75,500.00      1,372,982.41        690,825.00
CREDIT ACCEP CORP MI                       0.000 CACC    225310101     25.4500        11,100.00        215,671.11        282,495.00
CROMPTON CORPORATION                       1.694 CK      227116100Q    11.8000       127,300.00      1,029,787.09      1,502,140.00
CROSS COUNTRY INC                          0.000 CCRN    227483104     18.0800        38,400.00        587,346.24        694,272.00
CROSSTEX ENERGY INC                        3.341 XTXI    22765Y104     41.9000         2,600.00        111,574.57        108,940.00
CROWN CORK & SEAL INC.                     7.278 CCK     228368106     13.7400       161,800.00      1,252,051.30      2,223,132.00
CSG SYSTEMS INTL. INC.                     0.000 CSGS    126349109     18.7000        56,400.00        785,565.10      1,054,680.00
CSK AUTO CORP                              0.000 CAO     125965103     16.7400        34,800.00        518,854.36        582,552.00
CSS INDS INC                               1.259 CSS     125906107     31.7600        14,400.00        447,103.15        457,344.00
CT COMMUNICATIONS IN                       2.113 CTCI    126426402     12.3000        35,890.00        475,392.11        441,447.00
CTI MOLECULAR IMAGING INC                  0.000 CTMI    22943D105     14.1900        34,600.00        504,742.50        490,974.00
CTS CORP.                                  0.902 CTS     126501105     13.2900        40,100.00        650,247.96        532,929.00
CUBIC CORP                                 0.715 CUB     229669106     25.1700        17,400.00        414,271.25        437,958.00
CUBISTS PHARMACEUTICALS                    0.000 CBST    229678107     11.8300        21,797.00        239,486.85        257,858.51
CUMULUS MEDIA INC. CL. A                   0.000 CMLS    231082108     15.0800        54,700.00        907,412.84        824,876.00
CUNO INCORPORATED                          0.000 CUNO    126583103     59.4000        18,800.00        607,927.66      1,116,720.00
CURAGEN CORP                               0.000 CRGN    23126R101      7.1600        47,795.00        279,493.52        342,212.20
