ASOF02   Date 01/19/2006 Time 18:24:25   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2005 To 12/31/2005  Page 092

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - 1TR       INTERNAL 1000 TRANSI
Instrument - COM       COMMON STOCK

HORMEL FOODS CORP                          1.713 HRL     440452100     32.6800         9,881.00        309,197.39        322,911.08
HOUSTON EXPL CO                            0.000 THX     442120101     52.8000        17,000.00        944,885.60        897,600.00
HUDSON CITY BANCORP INC                    2.475 HCBK    443683107     12.1200       215,736.00      2,537,393.48      2,614,720.32
HUMANA INC.                                0.000 HUM     444859102     54.3300        67,958.00      1,333,440.89      3,692,158.15
HUNT (JB) TRANSPRT SVCS INC                1.060 JBHT    445658107     22.6400        16,250.00        279,045.85        367,900.00
IMATION CORP                               1.041 IMN     45245A107     46.0700         3,900.00        172,961.22        179,672.99
IMS HEALTH INC.                            0.321 RX      449934108     24.9200         3,200.00         78,511.39         79,744.01
INDEPENDENCE COMMUNITY BANK                2.718 ICBC    453414104     39.7300         2,946.00        115,101.88        117,044.58
INDYMAC BANCORP INC                        4.305 NDE     456607100     39.0200        16,552.00        608,989.98        645,859.06
INGERSOLL-RAND CO-A                        1.411 IR      G4776G101Q    40.3700         2,616.00         94,226.37        105,607.92
INGRAM MICRO INC CL A                      0.000 IM      457153104     19.9300        82,084.00      1,488,937.98      1,635,934.12
INTEL CORP.                                1.282 INTC    458140100Q    24.9600       697,438.00     16,188,677.05     17,408,052.48
INTL BUS MACH CORP                         0.973 IBM     459200101Q    82.2000       111,463.00      9,325,180.98      9,162,258.60
ITT INDUSTRIES INC                         0.700 ITT     450911102    102.8200         8,300.00        529,489.40        853,406.00
JOHNSON & JOHNSON                          2.196 JNJ     478160104Q    60.1000       395,683.00     20,941,580.09     23,780,548.30
JOY GLOBAL INC                             1.125 JOYG    481165108     40.0000        22,243.00        560,102.15        889,720.00
JPMORGAN CHASE & CO.                       3.426 JPM     46625H100Q    39.6900        65,341.00      2,218,003.97      2,593,384.30
KB HOME                                    1.376 KBH     48666K109Q    72.6600        31,927.00      2,397,884.37      2,319,815.82
KELLOGG CO.                                2.568 K       487836108Q    43.2200        43,896.00      2,001,980.87      1,897,185.12
KIMBERLY-CLARK CORP                        3.017 KMB     494368103Q    59.6500        24,068.00      1,527,976.55      1,435,656.19
LAFARGE NORTH AMERICA INC.                 1.744 LAF     505862102     55.0200        15,838.00        894,415.00        871,406.76
LAM RESEARCH CORP                          0.000 LRCX    512807108     35.6800        59,506.00      1,768,988.08      2,123,174.08
LENNAR CORPORATION                         1.048 LEN     526057104     61.0200        25,000.00      1,553,095.62      1,525,500.00
LENNOX INTERNATIONAL INC.                  1.560 LII     526107107     28.2000         8,800.00        251,108.59        248,160.02
LINCOLN NATIONAL CORP                      2.866 LNC     534187109Q    53.0300        78,691.00      3,561,449.55      4,172,983.74
LOCKHEED MARTIN CORPORATION                1.885 LMT     539830109Q    63.6300        74,783.00      4,562,242.72      4,758,442.29
LOUISIANNA PACIFIC                         1.820 LPX     546347105Q    27.4700        27,452.00        699,615.80        754,106.44
LSI LOGIC CORP                             0.000 LSI     502161102      8.0000        32,000.00        305,256.87        256,000.00
MARATHON OIL CORP                          2.165 MRO     565849106Q    60.9700        76,724.00      3,442,580.36      4,677,862.28
MARRIOTT INT'L INC CL-A                    0.627 MAR     571903202     66.9700         5,300.00        352,595.22        354,941.00
MASCO CORP.                                2.649 MAS     574599106Q    30.1900        26,285.00        792,820.69        793,544.16
MBNA CORP                                  2.062 KRB     55262L100Q    27.1500        33,566.00        806,554.61        911,316.90
MCGRAW HILL INC                            1.278 MHP     580645109Q    51.6300        53,100.00      2,320,441.99      2,741,553.00
MDC HOLDINGS INC                           1.613 MDC     552676108     61.9800        27,134.00      2,056,476.61      1,681,765.32
MEADWESTVACO                               3.282 MWV     583334107     28.0300         1,509.00         38,832.58         42,297.27
MEDAREX INC                                0.000 MEDX    583916101     13.8500        17,000.00        169,285.79        235,450.00
MEDCO HEALTH SOLUTIONS INC                 0.000 MHS     58405U102     55.8000        49,600.00      1,683,058.20      2,767,680.00
MEDIA GENERAL INC - CL A                   1.656 MEG     584404107     50.7000         1,129.00         68,996.68         57,240.30
MEDTRONIC INC                              0.668 MDT     585055106Q    57.5700        96,400.00      5,335,737.83      5,549,748.00
