ASOF11   Date 01/19/2006 Time 18:25:02   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2005 To 12/31/2005  Page 011

Monthly Market Portfolio

Investment Desc                              Yield     Identifier F Ticker      Shares              Cost              Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - INTERNATIONAL
Portfolio  - I-ACT     INTERNAL EMERGING
Instrument - ICOM      INTERNATIONAL COMMON STOCKS

NHN CORP                                     0.000     6560393      03542           743.00           47,986.41
NIEN HSING TEXTILE CO LTD                    0.271     6591928      1451_     3,775,000.00        2,907,237.41
NONG SHIM CO KRW50                           0.001     6638115      00437         1,000.00          187,749.41
OAO GAZPROM-GDR                              0.458     5140989      OGZD_        30,000.00          678,967.73
OIL & NATURAL GAS CORP LTD                   0.085     6139362      ONGC_        80,000.00        1,476,892.64
OLD MUTUAL                                   0.047     6155131      OML_S     1,440,000.00        2,571,681.63
ORBIS PLN2                                   0.316     5349173      ORB_P       550,000.00        3,153,578.87
OTP BANK                                     0.009     7320154      OTP_H       112,000.00          728,392.02
PETROCHINA CO                                0.602     6226576      857_H     7,000,000.00        3,600,317.22
PETROL BRASILEIROS                           1.337     2684532      PETR4       720,000.00        3,356,817.58
PHOENIXTEC POWER                             0.206     6685508      2411_       400,000.00          363,058.13
PICC PROPERTY & CASUALTY                     0.400     6706250      2328_     4,000,000.00        1,497,223.46
PLIVA D.D. GDR REG S                         2.789     5174706      PLVD_       112,000.00        1,258,877.25
POLSKI KON-GDR                               3.043     5811906      POKD_        40,000.00          361,200.00
POSCO                                        0.003     6693233      00549        15,908.00        2,086,330.27
PREMIER IMAGE TECHNOLOGY                     0.090     6143330      2394_     1,503,227.50        1,279,378.90
PT BANK CENTRAL ASIA                         0.000     B01C1P6      BBCA_    14,400,000.00        1,932,572.00
PT TELEKOMUNIKASI                            0.000     B02ZK79      TLKM_     8,000,000.00        1,540,136.68
PUBLIC BANK BHD                              1.447     B012W53      PBKF_     1,218,750.00        1,029,956.93
REALTEK SEMICONDUCTOR                        0.113     6051422      2379_       625,545.00          903,538.65
RELIANCE INDUSTRIES                          0.018     6099626      RIL_I       300,000.00        2,124,413.97
S P SETIA BERHAD GROUP                       2.029     6868774      SPSB_       800,000.00          840,094.04
S-OIL CORPORATION                            0.007     6406055      01095        12,190.00          335,904.88
S-OIL CORPORATION PFD                        0.009     6406066      01095         2,299.00           61,982.45
S1 CORPORATION                               0.001     6180230      01275         4,315.00          104,277.75
SAMPO CORP                                   0.315     6771924      1604_     2,100,000.00          907,271.10
SAMSUNG CLIMATE CONTROL CO                   0.000     6223317      00666         6,195.00           17,266.94
SAMSUNG CO KSWN500                           0.001     6771601      00083        70,000.00          922,187.51
SAMSUNG ELEC MECH                            0.001     6771689      00915        60,000.00        2,235,376.98
SAMSUNG ELECTRONIC                           0.000     6771720      00593        41,014.00       15,182,935.71
SAMSUNG ELECTRONICS-PFD                      0.001     6773812      00593        14,120.00        2,828,619.77
SAMSUNG FINE CHEMICALS                       0.001     6496432      00400         6,262.00           69,980.18
SAMSUNG FIRE & MARINE INS-PF                 0.001     6155261      00081         7,866.00          167,952.44
SAMSUNG FIRE + MAR                           0.001     6155250      00081        22,765.00        1,054,774.99
SAMSUNG HEAVY INDUSTRIES                     0.001     6772217      01014       240,000.00          766,231.43
SAMSUNG SDI CO LTD                           0.001     6771645      00640         3,094.00          147,958.10
SAMSUNG SDI CO LTD-PFD                       0.002     6776059      00640           506.00           14,995.75
SAMSUNG SECS CO KS                           0.000     6408448      01636         2,427.00           38,988.96
SANLAM LTD ORD ZAR                           0.519     B0L6750      SLM_S       864,000.00        1,230,134.85
