ASOF02   Date 01/19/2006 Time 18:24:23   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2005 To 12/31/2005  Page 082

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - QN2       QUANTITATIVE 2000 (Q
Instrument - COM       COMMON STOCK

VALUE LINE INC                             2.896 VALU    920437100     34.5300         1,400.00         52,140.98         48,342.00
VALUECLICK, INC                            0.000 VCLK    92046N102     18.1100       108,400.00        986,856.78      1,963,124.00
VALUEVISION MEDIA INC                      0.000 VVTV    92047K107     12.6000        28,800.00        329,824.19        362,880.00
VARIAN INC.                                0.000 VARI    922206107     39.7900        43,300.00      1,492,789.84      1,722,907.00
VARIAN SEMICONDUCTOR EQUIPMENT             0.000 VSEA    922207105     43.9300        46,100.00      1,384,924.07      2,025,173.00
VASCO DATA SECURITY INTL                   0.000 VDSI    92230Y104      9.8600        21,000.00        188,764.92        207,060.00
VECTOR GROUP LTD                           8.805 VGR     92240M108     18.1700        30,164.00        575,239.92        548,079.88
VEECO INSTRUMENTS INC                      0.000 VECO    922417100     17.3300        27,800.00        472,432.26        481,774.00
VENTANA MED SYS INC                        0.000 VMSI    92276H106     42.3500        32,900.00        617,429.90      1,393,315.00
VENTIV HEALTH INC.                         0.000 VTIV    922793104     23.6200        28,200.00        504,111.56        666,084.00
VERIFONE HOLDINGS INC                      0.000 PAY     92342Y109     25.3000         4,500.00         91,195.50        113,850.00
VERINT SYS INC                             0.000 VRNT    92343X100     34.4700        13,800.00        465,913.54        475,686.00
VERITAS DGC INC.                           0.000 VTS     92343P107     35.4900        45,700.00        664,159.67      1,621,893.00
VERTEX PHARMAREUTICALS INC                 0.000 VRTX    92532F100     27.6700        77,695.00      1,301,085.87      2,149,820.65
VERTRUE INC                                0.000 VTRU    92534N101     35.3300         8,100.00        240,069.17        286,173.00
VIAD CORP                                  0.545 VVI     92552R406     29.3300        23,500.00        658,655.21        689,255.00
VIASAT INC.                                0.000 VSAT    92552V100     26.7300        22,693.00        565,019.94        606,583.89
VIASYS HEALTHCARE INC                      0.000 VAS     92553Q209     25.7000        45,700.00        898,295.16      1,174,490.00
VICOR CORP                                 0.759 VICR    925815102     15.8100        42,942.00        611,744.13        678,913.02
VIGNETTE CORPORATION                       0.000 VIGN    926734401     16.3100        48,420.00        871,654.28        789,730.20
VIISAGE TECHNOLOGY INC                     0.000 VISGD   92675K205     17.6100        13,720.00        142,220.91        241,609.20
VIRGINIA COMMERCE BANCORP                  0.000 VCBI    92778Q109     29.0900         9,700.00        239,676.74        282,173.00
VIRGINIA FINL CORP                         2.442 VFGI    927810101     36.0300         7,627.00        256,919.86        274,800.81
VISTACARE INC-CL A                         0.000 VSTA    92839Y109     12.5000        11,600.00        280,629.13        145,000.00
VISTEON CORP                               3.833 VC      92839U107      6.2600        88,700.00        917,680.42        555,262.00
VITAL IMAGES INC                           0.000 VTAL    92846N104     26.1500        12,900.00        227,421.84        337,335.00
VITAL SIGNS INC                            0.653 VITL    928469105     42.8200        13,098.00        460,698.71        560,856.36
VITESSE SEMICONDUCTOR CORP                 0.000 VTSS    928497106      1.9200           800.00          3,194.70          1,536.00
VNUS MEDICAL TECHNOLOGIES                  0.000 VNUS    928566108      8.3800         5,500.00         65,795.37         46,090.00
VOLCOM INC                                 0.000 VLCM    92864N101     34.0100         5,000.00        140,150.00        170,050.00
VOLT INFO. SCIENCES INC.                   0.000 VOL     928703107     19.0200         8,500.00        208,440.89        161,670.00
W HLDG CO INC                              2.308 WHI     929251106      8.2300       148,800.00      1,455,044.28      1,224,624.00
W-H ENERGY SERVICES INC                    0.000 WHQ     92925E108     33.0800        29,500.00        513,801.15        975,860.00
W&T OFFSHORE INC                           0.408 WTI     92922P106     29.4000        25,100.00        559,330.10        737,940.00
WABASH NATIONAL CORP                       0.944 WNC     929566107     19.0500        32,900.00        672,097.53        626,745.00
WABTEC                                     0.148 WAB     929740108     26.9000        49,400.00        942,441.19      1,328,860.00
WADDELL & REED FINANCIAL-CL A              2.861 WDR     930059100     20.9700        57,400.00      1,048,301.14      1,203,678.00
WALTER INDS INC                            0.321 WLT     93317Q105     49.7200        36,800.00      1,247,847.06      1,829,696.00
WARNACO GROUP INC/THE                      0.000 WRNC    934390402     26.7200        48,900.00        774,298.06      1,306,608.00
