ASOF02   Date 01/19/2006 Time 18:24:14   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2005 To 12/31/2005  Page 038

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - QN1       QUANTITATIVE 1000 (Q
Instrument - COM       COMMON STOCK

IAC/INTERACTIVE CORP                       0.000 IACI    44919P300     28.3100       270,700.00      5,783,249.02      7,663,517.00
INTEL CORP.                                1.282 INTC    458140100Q    24.9600       829,300.00     17,519,923.83     20,699,328.00
INTERSIL HOLDINGS CORP                     0.803 ISIL    46069S109     24.8800       284,100.00      7,265,198.12      7,068,408.00
INTL BUS MACH CORP                         0.973 IBM     459200101Q    82.2000       208,100.00     15,567,649.51     17,105,820.00
INTUIT INC.                                0.000 INTU    461202103     53.3000       155,700.00      8,186,830.63      8,298,810.00
J C PENNEY INC                             0.899 JCP     708160106Q    55.6000       101,200.00      5,363,570.28      5,626,720.00
JOHNSON & JOHNSON                          2.196 JNJ     478160104Q    60.1000       411,300.00     14,753,232.19     24,719,130.00
JPMORGAN CHASE & CO.                       3.426 JPM     46625H100Q    39.6900       794,100.00     26,749,061.24     31,517,829.00
KING PHARMACEUTICALS                       0.000 KG      495582108     16.9200       465,500.00      7,014,306.18      7,876,260.00
KOS PHARMACEUTICALS                        0.000 KOSP    500648100     51.7300       102,100.00      6,354,833.73      5,281,633.00
LAIDLAW INTERNATIONAL INC                  2.582 LI      50730R102     23.2300       324,700.00      6,491,947.38      7,542,781.00
LANDSTAR SYSTEM INC.                       0.239 LSTR    515098101     41.7400        65,200.00      2,681,870.49      2,721,448.00
LEHMAN BROTHERS HOLDING                    0.624 LEH     524908100Q   128.1700       102,000.00      9,876,113.15     13,073,340.00
LINCOLN NATIONAL CORP                      2.866 LNC     534187109Q    53.0300       161,100.00      7,519,149.17      8,543,133.00
LOEWS CORP                                 0.632 LTR     540424108Q    94.8500        96,400.00      7,162,420.53      9,143,540.00
LOEWS CORP - CAROLINA GROUP                4.137 CG      540424207     43.9900       175,000.00      7,610,553.07      7,698,250.00
LOWE'S COS                                 0.360 LOW     548661107Q    66.6600        37,200.00        940,232.92      2,479,752.00
LSI LOGIC CORP                             0.000 LSI     502161102      8.0000       389,400.00      3,285,769.96      3,115,200.00
MANPOWER INC                               1.161 MAN     56418H100     46.5000       158,200.00      7,442,780.63      7,356,300.00
MARATHON OIL CORP                          2.165 MRO     565849106Q    60.9700       173,300.00      9,205,858.28     10,566,100.99
MBIA INC.                                  1.861 MBI     55262C100Q    60.1600       133,600.00      7,268,178.06      8,037,376.00
MCAFEE INC                                 0.000 MFE     579064106     27.1300       269,900.00      6,227,603.10      7,322,387.00
MCDONALDS CORPORATION                      1.987 MCD     580135101Q    33.7200        32,300.00        910,676.74      1,089,156.00
MCGRAW HILL INC                            1.278 MHP     580645109Q    51.6300        12,900.00        434,500.14        666,027.00
MCI INC                                    8.109 MCIP    552691107     19.7300       388,300.00      8,703,820.59      7,661,159.00
MDU RESOURCES GROUP                        2.321 MDU     552690109     32.7400       227,300.00      7,450,982.74      7,441,802.00
MEDIMMUNE INC                              0.000 MEDI    584699102     35.0200       238,400.00      8,240,772.80      8,348,768.00
MEDTRONIC INC                              0.668 MDT     585055106Q    57.5700        93,500.00      3,348,101.12      5,382,795.00
MERCK & CO INC                             4.778 MRK     589331107Q    31.8100       609,800.00     24,829,428.99     19,397,738.00
MEREDITH CORPORATION                       1.069 MDP     589433101Q    52.3400       140,400.00      7,218,929.75      7,348,536.00
MERRILL LYNCH & CO. INC.                   1.181 MER     590188108Q    67.7300        66,300.00      2,594,284.84      4,490,499.00
METLIFE INC                                1.061 MET     59156R108     49.0000       206,200.00      7,551,174.58     10,103,800.00
MGIC INVESTMENT CORP                       0.911 MTG     552848103Q    65.8200       119,400.00      7,699,344.90      7,858,907.99
MICROSOFT CORP.                            1.376 MSFT    594918104     26.1500     1,387,300.00     34,825,244.68     36,277,895.00
MILLENNIUM PHARMACEUTICALS                 0.000 MLNM    599902103      9.7000       722,000.00      7,267,730.56      7,003,400.00
MILLIPORE CORPORATION                      0.666 MIL     601073109Q    66.0400       112,100.00      7,436,199.07      7,403,084.00
MONSANTO COMPANY                           1.031 MON     61166W101     77.5300       133,900.00      4,651,579.11     10,381,267.00
MORGAN STANLEY DEAN WITTER & C             1.903 MS      617446448Q    56.7400        73,400.00      3,503,538.08      4,164,716.00
MOTOROLA INC                               0.708 MOT     620076109Q    22.5900       723,200.00     13,360,792.17     16,337,088.00
