ASOF02   Date 01/20/2004 Time 18:58:39   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2003 To 12/31/2003  Page 027

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - RMV       MID-CAP VALUE (Q)
Instrument - COM       COMMON STOCK

CSX CORP.                                  1.113 CSX     126408103Q    35.9400       359,700.00     12,809,719.23     12,927,617.98
CULLEN/FROST BANKERS INC                   2.366 CFR     229899109     40.5700        20,400.00        619,600.74        827,628.01
CUMMINS INC.                               2.452 CMI     231021106Q    48.9400       101,600.00      4,464,198.20      4,972,304.00
CYPRESS SEMICONDUCTOR CORP                 0.000 CY      232806109     21.3600       172,100.00      3,020,724.31      3,676,056.01
CYTEC INDUSTRIES                           0.000 CYT     232820100Q    38.3900       118,700.00      4,250,061.59      4,556,893.00
D.R. HORTON INC.                           0.739 DHI     23331A109     43.2600       180,600.00      5,037,988.22      7,812,756.01
DANA CORP                                  1.307 DCN     235811106Q    18.3500       376,100.00      7,032,738.66      6,901,435.00
DARDEN RESTAURANTS INC                     0.380 DRI     237194105     21.0400        51,800.00        953,355.71      1,089,871.99
DEAN FOODS CO                              0.000 DF      242370104     32.8700       260,500.00      5,831,250.77      8,562,635.00
DELPHI AUTOMOTIVE SYSTEMS CORP             2.742 DPH     247126105     10.2100       762,800.00      7,840,306.85      7,788,187.98
DELTA AIR LINES, INC.                      0.846 DAL     247361108Q    11.8100       181,700.00      3,978,827.03      2,145,876.99
DELUXE CORP.                               3.580 DLX     248019101Q    41.3300       135,144.00      5,642,829.04      5,585,501.51
DIEBOLD INC                                1.262 DBD     253651103     53.8700       121,600.00      3,842,033.60      6,550,592.00
DONALDSON CO INC                           0.642 DCI     257651109     59.1600         8,400.00        273,376.76        496,944.00
DONNELLEY (R.R.) & SONS CO.                3.449 DNY     257867101Q    30.1500       177,900.00      4,496,412.98      5,363,685.01
DOUBLECLICK INC                            0.000 DCLK    258609304     10.2200        46,700.00        408,680.51        477,274.00
DOVER CORP.                                1.509 DOV     260003108Q    39.7500       276,100.00      9,482,352.63     10,974,975.01
DOWNEY FINANCIAL CORP.                     0.730 DSL     261018105     49.3000        35,500.00      1,100,683.31      1,750,149.99
DPL INC                                    4.597 DPL     233293109Q    20.8800        77,600.00      1,368,669.95      1,620,288.00
DST SYSTEMS INC                            0.000 DST     233326107     41.7600        12,200.00        467,313.31        509,472.01
DTE ENERGY COMPANY                         5.228 DTE     233331107Q    39.4000       282,700.00     10,973,013.49     11,138,380.01
DYNEGY INC                                 7.009 DYN     26816Q101      4.2800       463,400.00      5,142,982.98      1,983,352.01
E*TRADE GROUP INC.                         0.000 ET      269246104     12.6500       476,899.99      4,949,455.63      6,032,784.98
EASTMAN CHEMICAL CO.                       4.452 EMN     277432100Q    39.5300        54,900.00      2,293,857.34      2,170,197.01
EASTMAN KODAK                              1.947 EK      277461109Q    25.6700       482,100.00     23,379,939.27     12,375,506.99
EATON CORP.                                1.778 ETN     278058102Q   107.9800        99,500.00      7,411,889.90     10,744,010.00
EDISON INTERNATIONAL                       3.648 EIX     281020107Q    21.9300       574,500.00     11,206,121.92     12,598,784.99
EDWARDS (A.G.) INC                         1.766 AGE     281760108     36.2300       146,700.00      5,105,925.31      5,314,941.00
EL PASO CORP                               1.953 EP      28336L109      8.1900     1,295,600.00     28,073,053.34     10,610,964.00
ELECTRONIC DATA SYSTEMS                    2.445 EDS     285661104Q    24.5400       848,100.00     25,684,257.05     20,812,374.00
EMULEX CORP                                0.000 ELX     292475209     26.6800        39,100.00        886,416.18      1,043,187.99
ENERGIZER HOLDINGS INC.                    0.000 ENR     29266R108     37.5600        27,500.00        749,902.60      1,032,899.99
ENERGY EAST CORP.                          4.642 EAS     29266M109     22.4000       244,900.00      5,406,520.98      5,485,759.99
ENGELHARD CORP.                            1.469 EC      292845104Q    29.9500       192,900.00      4,903,563.33      5,777,355.00
ENSCO INTL INC                             0.368 ESV     26874Q100     27.1700        61,700.00      1,768,339.61      1,676,389.00
ENTRAVISION COMMUNIC                       0.000 EVC     29382R107     11.1000        42,200.00        459,450.13        468,420.00
EQUIFAX INC                                0.326 EFX     294429105     24.5000        45,600.00      1,091,121.46      1,117,200.01
EQUITABLE RESOURCES INC                    2.795 EQT     294549100     42.9200       105,100.00      3,741,376.68      4,510,891.99
ESTEE LAUDER CO.                           0.764 EL      518439104     39.2600        11,700.00        404,216.02        459,341.98
