ASOF02   Date 01/20/2004 Time 18:58:34   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2003 To 12/31/2003  Page 005

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - LCA       LARGE-CAP CORE ANALY
Instrument - COM       COMMON STOCK

PROGRESS ENERGY, INC                       5.081 PGN     743263105Q    45.2600       141,800.00      5,631,882.09      6,417,868.00
PROGRESSIVE CORP                           0.119 PGR     743315103     83.5900        35,200.00      1,816,192.49      2,942,368.01
PRUDENTIAL FINANCIAL INC                   1.197 PRU     744320102     41.7700       397,100.00     12,829,082.52     16,586,867.00
QUALCOMM INC                               0.519 QCOM    747525103     53.9300       568,200.00     25,875,555.81     30,643,026.00
RAYTHEON COMPANY                           2.663 RTN     755111507Q    30.0400       328,600.00     11,401,200.35      9,871,144.00
SARA LEE CORP.                             3.454 SLE     803111103Q    21.7100       423,200.00      7,742,576.34      9,187,672.00
SBC COMMUNICATIONS INC.                    4.794 SBC     78387G103Q    26.0700     2,291,600.00     73,663,935.43     59,742,012.00
SCHERING-PLOUGH                            1.265 SGP     806605101Q    17.3900       732,300.00     15,492,466.35     12,734,697.00
SCHWAB (CHARLES) CORP                      0.473 SCH     808513105     11.8400       451,100.00      6,285,916.49      5,341,024.00
SLM CORP                                   1.804 SLM     78442P106     37.6800       296,500.00      7,356,536.64     11,172,120.01
SOUTHERN CO                                4.628 SO      842587107Q    30.2500       408,300.00      9,063,424.29     12,351,074.99
SOUTHWEST AIRLINES                         0.111 LUV     844741108Q    16.1400       422,100.00      5,562,151.87      6,812,694.01
SPRINT CORP.                               3.045 FON     852061100Q    16.4200       475,100.00     15,513,515.73      7,801,142.00
ST JUDE MED. INC.                          0.000 STJ     790849103     61.3500       129,500.00      4,661,296.49      7,944,825.00
STATE STREET CORP                          1.152 STT     857477103     52.0800       239,300.00      9,566,399.62     12,462,744.01
STRYKER CORP.                              0.164 SYK     863667101     85.0100       132,400.00      6,059,069.04     11,255,324.00
SUN MICROSYSTEMS INC.                      0.000 SUNW    866810104      4.4900     2,324,700.00     27,075,426.53     10,437,903.00
SUNTRUST BANKS INC.                        2.517 STI     867914103Q    71.5000       137,600.00      8,154,555.58      9,838,400.00
SYSCO CORP.                                1.396 SYY     871829107Q    37.2300       382,800.00      7,741,742.20     14,251,643.99
TARGET CORP                                0.729 TGT     87612E106Q    38.4000       715,200.00     20,678,028.27     27,463,680.00
TEXAS INSTRS INC                           0.289 TXN     882508104Q    29.3800     1,222,000.00     33,379,400.46     35,902,360.00
TIME WARNER INC.                           3.001 TWX     887317105     17.9900     3,623,300.00    110,107,866.60     65,183,167.01
TRAVELERS PROPERTY CASUALTY -              1.885 TAP.B   89420G406     16.9700       761,800.00     11,345,823.92     12,927,746.00
TRIBUNE CO                                 0.852 TRB     896047107Q    51.6000       314,900.00     13,761,167.93     16,248,840.01
UNION PACIFIC CORP.                        1.727 UNP     907818108Q    69.4800       245,800.00     13,926,859.47     17,078,184.01
UNITED PARCEL SERVICES INC                 1.341 UPS     911312106     74.5500       366,500.00     24,422,696.10     27,322,575.01
UNITED TECHNOLOGIES                        1.477 UTX     913017109Q    94.7700       350,200.00     17,371,368.51     33,188,454.00
UNITEDHEALTH GROUP INC                     0.025 UNH     91324P102A    58.1800       295,700.00      7,185,411.30     17,203,826.00
US BANCORP                                 3.223 USB     902973304     29.7800     1,278,200.00     27,339,030.82     38,064,795.99
VERITAS SOFTWARE CORPORATION               0.000 VRTS    923436109     37.1600       298,600.00      8,649,080.25     11,095,976.00
VERIZON COMMUNICATIONS                     4.390 VZ      92343V104Q    35.0800     1,834,000.00     75,384,197.67     64,336,720.00
VIACOM INC-CLASS B                         0.540 VIA.B   925524308     44.3800     1,114,800.00     42,827,833.17     49,474,824.01
WACHOVIA CORP.- NEW                        3.434 WB      929903102Q    46.5900       862,800.00     33,101,029.48     40,197,852.00
WAL MART STORES INC                        0.678 WMT     931142103Q    53.0500     1,756,400.00     53,743,010.79     93,177,020.00
WALGREEN CO.                               0.472 WAG     931422109Q    36.3800       734,300.00     17,861,389.09     26,713,833.99
WASHINGTON MUTUAL INC.                     4.087 WM      939322103     40.1200       606,900.00     17,227,148.54     24,348,828.00
WASTE MANAGEMENT INC.                      0.033 WMI     94106L109     29.6000       425,700.00     14,320,148.54     12,600,720.00
WELLPOINT HEALTH NETWORKS                  0.000 WLP     94973H108     96.9900        62,400.00      3,671,850.25      6,052,176.00
WELLS FARGO COMPANY                        3.056 WFC     949746101     58.8900     1,259,826.00     38,484,545.75     74,191,153.14
