ASOF02   Date 01/21/2003 Time 18:52:55   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 053

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - SNP       S&P 500 PASSIVE
Instrument - COM       COMMON STOCK

FREEPORT MCMORAN CLASS B                   0.000 FCX     35671D857     16.7800        65,450.00      1,491,167.22      1,098,251.00
GANNETT INC                                1.337 GCI     364730101Q    71.8000       120,675.00      5,624,473.87      8,664,465.00
GAP INC                                    0.579 GPS     364760108Q    15.5200       399,209.00      6,087,908.71      6,195,723.68
GATEWAY INC.                               0.000 GTW     367626108      3.1400       146,295.00      4,175,181.28        459,366.30
GENERAL DYNAMICS CORP.                     1.511 GD      369550108Q    79.3700        90,756.00      4,833,349.95      7,203,303.72
GENERAL ELECTRIC CO                        3.121 GE      369604103Q    24.3500     4,493,840.00    123,055,687.44    109,425,004.00
GENERAL MILLS INC                          2.342 GIS     370334104Q    46.9500       166,109.00      6,265,746.04      7,798,817.55
GENERAL MOTORS CORP                        5.425 GM      370442105Q    36.8600       253,119.00     12,105,358.29      9,329,966.34
GENUINE PARTS CO                           3.766 GPC     372460105Q    30.8000        78,852.00      2,306,062.92      2,428,641.60
GENZYME CORP. GEN. DIV.                    0.000 GENZ    372917104     29.5700        96,882.00      2,636,766.62      2,864,800.74
GEORGIA PACIFIC                            3.094 GP      373298108Q    16.1600       112,912.00      2,852,698.86      1,824,657.92
GILLETTE CO                                2.141 G       375766102Q    30.3600       476,451.00     15,312,324.76     14,465,052.36
GOLDEN WEST FINANCIAL CORP                 0.473 GDW     381317106Q    71.8100        69,322.00      2,205,850.61      4,978,012.82
GOLDMAN SACHS GROUP INC                    0.704 GS      38141G104     68.1000       215,605.00     16,538,631.33     14,682,700.50
GOODRICH CORP.                             4.366 GR      382388106Q    18.3200        52,008.00      1,482,121.43        952,786.56
GOODYEAR T & R                             7.048 GT      382550101Q     6.8100        79,162.00      2,562,091.52        539,093.22
GRAINGER W W INC                           1.396 GWW     384802104Q    51.5500        41,259.00      1,500,202.03      2,126,901.45
GREAT LAKES CHEMICAL CORP.                 1.507 GLK     390568103Q    23.8800        22,690.00      1,000,608.21        541,837.20
GUIDANT CORP.                              0.000 GDT     401698105Q    30.8500       138,061.00      3,967,800.45      4,259,181.85
H & R BLOCK INC.                           1.791 HRB     093671105Q    40.2000        81,634.00      1,959,741.12      3,281,686.80
HALLIBURTON COMPANY                        2.672 HAL     406216101Q    18.7100       197,116.00      5,499,837.37      3,688,040.36
HARLEY-DAVIDSON INC                        0.303 HDI     412822108Q    46.2000       136,627.00      3,442,539.10      6,312,167.40
HARRAH'S ENTERTAINMENT INC.                0.000 HET     413619107     39.6000        50,450.00      1,381,506.89      1,997,820.00
HARTFORD FINL SERVICES                     2.377 HIG     416515104     45.4300       115,200.00      4,684,475.93      5,233,536.00
HASBRO BRADLEY                             1.039 HAS     418056107Q    11.5500        78,186.00      1,149,637.40        903,048.30
HCA INC                                    0.192 HCA     404119109     41.5000       231,783.00      7,616,216.21      9,618,994.50
HEALTH MGMT ASSOCIATES CL A                0.446 HMA     421933102     17.9000       107,659.00      1,717,566.63      1,927,096.10
HEALTHSOUTH CORP                           0.000 HRC     421924101      4.2000       178,978.00      2,776,937.49        751,707.60
HEINZ H. J. CO.                            4.928 HNZ     423074103Q    32.8700       158,525.00      5,480,695.81      5,210,716.75
HERCULES INCORPORATED                      0.000 HPC     427056106Q     8.8000        49,276.00      1,136,753.15        433,628.80
HERSHEY FOODS CORP.                        1.942 HSY     427866108Q    67.4400        61,524.00      2,858,807.42      4,149,178.56
HEWLETT-PACKARD CO                         1.843 HPQ     428236103Q    17.3600     1,378,034.00     31,116,789.05     23,922,670.24
HILTON HOTELS CORP.                        0.629 HLT     432848109Q    12.7100       169,958.00      1,788,118.41      2,160,166.18
HOME DEPOT INC.                            1.001 HD      437076102Q    23.9600     1,050,302.50     28,565,665.83     25,165,247.90
HONEYWELL INTERNATIONAL INC                3.125 HON     438516106Q    24.0000       370,762.88     15,037,060.52      8,898,309.12
HOUSEHOLD INTL. INC.                       3.595 HI      441815107Q    27.8100       213,853.00      6,544,610.83      5,947,251.93
HUMANA INC.                                0.000 HUM     444859102     10.0000        73,270.00      1,360,409.76        732,700.00
HUNTINGTON BANCSHARES                      3.420 HBAN    446150104     18.7100       106,410.00      2,275,454.54      1,990,931.10
ILLINOIS TOOL WORKS                        1.418 ITW     452308109Q    64.8600       138,359.00      6,422,554.49      8,973,964.74
