ASOF02   Date 01/21/2003 Time 18:52:50   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 028

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - IND       LARGE CAP SELECT
Instrument - COM       COMMON STOCK

SABRE HOLDINGS CORP.                       0.000 TSG     785905100     18.1100        30,000.00      1,335,000.00        543,300.00
SAFECO CORP.                               2.134 SAFC    786429100Q    34.6700        30,800.00        892,564.18      1,067,836.00
SAFEWAY INC                                0.000 SWY     786514208     23.3600       291,600.00     12,540,576.79      6,811,776.00
SANMINA-SCI CORP                           0.000 SANM    800907107      4.4900       131,880.00      3,079,522.50        592,141.20
SARA LEE CORP.                             2.754 SLE     803111103Q    22.5100       758,900.00     12,769,443.77     17,082,839.00
SBC COMMUNICATIONS INC.                    3.983 SBC     78387G103Q    27.1100     1,872,800.00     48,408,580.07     50,771,608.00
SCHERING-PLOUGH                            3.063 SGP     806605101Q    22.2000     1,087,800.00     25,918,928.71     24,149,160.00
SCHLUMBERGER                               1.781 SLB     806857108Q    42.0900       402,400.00     19,640,793.89     16,937,016.00
SCHWAB (CHARLES) CORP                      0.368 SCH     808513105     10.8500       685,800.00     10,977,927.55      7,440,930.00
SCIENTIFIC ATLANTA INC.                    0.337 SFA     808655104Q    11.8600        75,000.00      2,007,000.00        889,500.00
SEALED AIR CORP.                           0.000 SEE     81211K100     37.3000        55,700.00      2,095,643.59      2,077,610.00
SEARS ROEBUCK & CO.                        3.841 S       812387108Q    23.9500       208,900.00      9,529,724.11      5,003,155.00
SEMPRA ENERGY                              4.228 SRE     816851109     23.6500       128,300.00      2,907,361.93      3,034,295.00
SHERWIN-WILLIAMS CO                        2.123 SHW     824348106Q    28.2500       106,000.00      2,787,174.60      2,994,500.00
SIEBEL SYSTEMS INC.                        0.000 SEBL    826170102      7.4800       306,000.00      5,324,380.40      2,288,880.00
SIGMA-ALDRICH                              0.739 SIAL    826552101Q    48.7000        49,800.00      1,610,788.43      2,425,260.00
SLM CORP                                   0.962 SLM     78442P106    103.8600       101,000.00      9,091,640.00     10,489,860.00
SMURFIT-STONE CONTAINER CORPOR             0.000 SSCC    832727101     15.3910       100,600.00      1,608,813.19      1,548,334.60
SNAP-ON TOOLS CORP.                        3.557 SNA     833034101Q    28.1100        41,000.00      1,390,547.51      1,152,510.00
SOLECTRON CORP                             0.000 SLR     834182107      3.5500       666,000.00     15,784,562.51      2,364,300.00
SOUTHERN CO                                4.825 SO      842587107Q    28.3900       425,700.00     10,450,733.75     12,085,623.00
SOUTHTRUST CORP                            3.380 SOTR    844730101     24.8500       249,100.00      4,569,032.09      6,190,135.00
SOUTHWEST AIRLINES                         0.143 LUV     844741108Q    13.9000       402,600.00      6,045,083.23      5,596,140.00
SPRINT CORP.                               3.453 FON     852061100Q    14.4800       598,950.00     13,424,844.65      8,672,796.00
ST JUDE MED. INC.                          0.000 STJ     790849103     39.7200       116,800.00      3,973,139.93      4,639,296.00
ST. PAUL COMPANIES                         3.406 SPC     792860108Q    34.0500       269,600.00      9,529,379.33      9,179,880.00
STANLEY WORKS                              2.949 SWK     854616109Q    34.5800       141,200.00      5,711,685.70      4,882,696.00
STAPLES INC                                0.000 SPLS    855030102     18.3000       349,300.00      6,867,060.73      6,392,190.00
STARBUCKS CORP.                            0.000 SBUX    855244109     20.3800       291,000.00      5,320,801.62      5,930,580.00
STARWOOD RESORTS                           3.538 HOT     85590A203     23.7400       142,000.00      4,044,443.00      3,371,080.00
STATE STREET CORP                          1.333 STT     857477103     39.0000       116,500.00      5,177,626.09      4,543,500.00
STRYKER CORP.                              0.178 SYK     863667101     67.1200       104,700.00      3,196,471.82      7,027,464.00
SUN MICROSYSTEMS INC.                      0.000 SUNW    866810104      3.1100     2,127,800.00     18,667,812.78      6,617,458.00
SUNGARD DATA SYSTEMS                       0.000 SDS     867363103     23.5600       186,000.00      4,617,370.64      4,382,160.00
SUNOCO, INC.                               3.013 SUN     86764P109Q    33.1800        50,600.00      1,917,685.20      1,678,908.00
SUNTRUST BANKS INC.                        3.021 STI     867914103Q    56.9200       158,000.00      9,584,800.69      8,993,360.00
SUPER VALU STORES INC.                     3.452 SVU     868536103Q    16.5100        91,000.00      1,547,857.22      1,502,410.00
SYMBOL TECHNOLOGIES INC                    0.243 SBL     871508107      8.2200       298,725.00      4,633,762.17      2,455,519.50
SYNOVUS FINANCIAL CORP                     3.041 SNV     87161C105     19.4000       390,000.00      9,589,840.25      7,566,000.00
