ASOF11   Date 01/21/2003 Time 18:53:36   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 034

Monthly Market Portfolio

Investment Desc                              Yield     Identifier F Ticker      Shares              Cost              Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - INTERNATIONAL
Portfolio  - I-EAP     EMERGING ANALYST POR
Instrument - ICOM      INTERNATIONAL COMMON STOCKS

ABSA GROUP ZAR2                              0.000     6910794      ASA_S       956,715.00        3,220,807.24
ACCTON TECHNOLOGY CORP                       0.000     6005214      2345_       712,950.00        1,369,265.11
ADVANCED INFO SERVICE                        0.000     6412591      ADVAN       586,000.00          700,130.65
AFRICAN BANK INVESTMENTS LTD                 0.000     6040776      ABL_S     2,069,500.00        1,644,728.10
AKBANK T.A.S.                                0.000     4011127      AKBNK    70,000,000.00          239,686.19
AKSIGORTA                                    0.000     4012078      AKGRT    56,259,132.12          248,000.28
ALFA SA DE CV SER'                           0.000     2043423      ALFAA       550,000.00          858,122.79
ALUMINUM CORP OF CHINA (CHALCO)              0.000     6425395      2600_     8,935,700.00        1,557,988.60
AMBEV3                                      66.463     2361932      AMBV3     3,000,000.00          652,693.05
AMERICA MOVIL SA                             0.000     2667470      AMXL_     4,350,000.00        2,422,947.74
ANGLO AMERICAN ORD                           0.000     6152972      AGL_S       664,397.00       10,032,948.07
ANGLO AMERICAN PLA                           0.000     6761000      AMS_S        83,490.00        2,976,068.33
ANGLOGOLD LTD ORD                            0.492     6565655      ANG_S        40,000.00        1,283,065.93
ANTOFAGASTA PLC                         21,084.062     0045614      ANTO_        60,000.00          409,451.16
ARACRUZ CELULOSE SA ADR                      3.933     2058579      ARA          40,000.00          680,529.18
ASUR ADR                                    12.851     2639361      ASR          80,000.00        1,188,663.38
ASUSTEK COMPUTER INC                         0.000     6051046      54927       674,000.00        1,571,346.17
AU OPTRONICS CORP                            0.000     6288190      2409_       650,000.00          384,736.60
AU OPTRONICS CORP - ADR                      0.000     2877149      AUO         173,000.00        1,765,896.24
BANCO BRADESCO SA                            0.000     2074520      BBDC4   300,000,000.00        1,323,246.08
BANCO SANTANDER ADR                          6.548     2136646      SAN          35,000.00          738,024.07
BANGKOK BANK THB10                           0.000     6077019      BBL/F       206,700.00          446,722.22
BANGKOK EXPRESSWAY                           0.111     6113311      BECL/       177,600.00           85,241.23
BANK LEUMI LE-ISRAEL                         0.510     6076425      LUMI_       434,103.00          837,970.58
BANK PEKAO SA ORD                            0.001     5473113      PEO_P         7,222.00          135,818.16
BARLOWORLD LIMITED                           0.000     6079123      BAW_S        65,000.00          433,163.49
BEC WORLD PCL-FOREIGN                        0.000     6078142      BEC/F        50,300.00          301,203.02
BEIJING DATANG POW                           0.000     6080716      991_H     2,840,000.00          958,146.69
BENQ CORP                                    0.052     6054465      2352_       880,000.00        1,027,401.75
BEZEQ ISRAEL TELCM                           0.016     6098032      BEZQ_       295,140.00          414,468.07
BHARAT HEAVY ELECTRICALS                     0.000     6129523      BHEL_       255,054.00          725,766.69
BIMANTARA CITRA ID                           0.000     6100465      BMTR_       231,000.00          149,195.93
BK HAPOALIM BM ILS                           0.003     6075808      POLI_       409,137.00        1,050,803.85
BK OF AYUDHYA THB                            0.000     6075949      BAY/F       433,000.00          168,425.51
BRASIL TELECOM PART SA                       0.797     2292645      BRTP3   100,000,000.00          744,583.72
BRASIL TELECOM PARTICIPACOES S/A             4.478     2292656      BRTP4    15,000,000.00          109,368.98
BRE BANK SA PLN 4.                           2.966     4143053      BRE_P        10,000.00          178,906.25
BRILLIANCE CHINA AUTOMOTIVE                  0.011     6181482      1114_     6,200,000.00        1,608,552.56
BRITISH AMERICAN TOBACCO BHD                 0.390     6752349      ROTH_       185,000.00        1,710,694.54
