ASOF02   Date 01/21/2003 Time 18:53:07   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 116

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK - EXTERNALLY MANAGED
Portfolio  - 5IN       INTECH - 500
Instrument - COM       COMMON STOCK

PHILIP MORRIS COS                          6.316 MO      718154107Q    40.5300        22,400.00        765,843.98        907,872.00
PINNACLE WEST CAPITAL CORP                 4.986 PNW     723484101Q    34.0900         1,300.00         40,979.24         44,317.00
PITNEY-BOWES, INC.                         3.613 PBI     724479100Q    32.6600         3,300.00        134,528.92        107,778.00
PLUM CREEK TIMBER CO INC                   5.932 PCL     729251108     23.6000         7,300.00        215,591.28        172,280.00
PNC FINANCIAL SERVICES GROUP               4.582 PNC     693475105Q    41.9000         5,800.00        282,770.81        243,020.00
PPG INDUSTRIES INC.                        3.429 PPG     693506107Q    50.1500         2,700.00        140,796.74        135,405.00
PPL CORPORATION                            4.152 PPL     69351T106Q    34.6800         1,400.00         46,646.32         48,552.00
PRAXAIR INC.                               1.315 PX      74005P104Q    57.7700         7,200.00        359,293.42        415,944.00
PRIME MONEY MARKET ACCOUNT                 0.000 IT-INT  IT-INT         1.0000     1,230,538.99      1,230,539.02      1,230,538.99
PRINCIPAL FINANCIAL GROUP                  0.829 PFG     74251V102     30.1300        10,300.00        281,457.94        310,339.00
PROCTER & GAMBLE CO                        1.908 PG      742718109Q    85.9400        14,500.00        923,715.56      1,246,130.00
PROGRESS ENERGY, INC                       5.167 PGN     743263105Q    43.3500         7,000.00        288,000.56        303,450.01
PROGRESSIVE CORP                           0.201 PGR     743315103     49.6300        15,100.00        599,434.82        749,413.00
PRUDENTIAL FINANCIAL INC                   1.260 PRU     744320102     31.7400        12,200.00        379,970.81        387,228.00
PUBLIC SVC ENTERPRISES                     6.729 PEG     744573106Q    32.1000         3,300.00         96,455.51        105,930.00
PULTE HOMES, INC.                          0.334 PHM     745867101Q    47.8700         3,100.00        131,758.35        148,397.00
QLOGIC CORPORATION                         0.000 QLGC    747277101     34.5100        15,100.00        530,857.23        521,101.00
QUALCOMM INC                               0.000 QCOM    747525103     36.3900        17,500.00      1,181,764.94        636,825.00
R.J. REYNOLDS TOBACCO HOLDINGS             9.024 RJR     76182K105     42.1100         1,500.00         80,555.85         63,165.00
RADIOSHACK CORP                            1.174 RSH     750438103Q    18.7400        12,700.00        319,543.30        237,998.00
RAYTHEON COMPANY                           2.601 RTN     755111507Q    30.7500        23,300.00        829,825.14        716,475.00
REEBOK INTERNATIONAL LTD.                  0.000 RBK     758110100Q    29.4000         5,300.00        115,005.56        155,820.00
REGIONS FINANCIAL CORP.                    3.597 RF      758940100Q    33.3600        11,300.00        338,838.28        376,968.00
ROBERT HALF INTL INC                       0.000 RHI     770323103     16.1100        17,000.00        336,618.21        273,870.00
ROCKWELL AUTOMATION INC                    3.186 ROK     773903109Q    20.7100        21,900.00        421,853.80        453,549.00
ROCKWELL COLLINS                           1.547 COL     774341101     23.2600         3,400.00         80,109.05         79,084.00
ROHM & HAAS CO                             2.586 ROH     775371107Q    32.4800        11,700.00        398,780.56        380,016.00
ROWAN COS.                                 0.000 RDC     779382100     22.7000        16,400.00        321,879.72        372,280.00
RYDER SYS. INC.                            2.673 R       783549108Q    22.4400        12,400.00        296,139.38        278,256.00
SABRE HOLDINGS CORP.                       0.000 TSG     785905100     18.1100         5,500.00        184,234.20         99,605.00
SAFECO CORP.                               2.134 SAFC    786429100Q    34.6700        17,300.00        511,990.04        599,791.00
SAFEWAY INC                                0.000 SWY     786514208     23.3600         6,500.00        202,496.26        151,840.00
SARA LEE CORP.                             2.754 SLE     803111103Q    22.5100        23,000.00        438,074.67        517,730.00
SBC COMMUNICATIONS INC.                    3.983 SBC     78387G103Q    27.1100        56,800.00      2,261,376.68      1,539,848.00
SCHERING-PLOUGH                            3.063 SGP     806605101Q    22.2000        41,600.00        913,140.30        923,520.00
SCHLUMBERGER                               1.781 SLB     806857108Q    42.0900         3,900.00        215,202.28        164,151.00
SCHWAB (CHARLES) CORP                      0.368 SCH     808513105     10.8500        44,500.00        453,668.60        482,825.00
SCIENTIFIC ATLANTA INC.                    0.337 SFA     808655104Q    11.8600        16,800.00        403,141.25        199,248.00
SEARS ROEBUCK & CO.                        3.841 S       812387108Q    23.9500         1,000.00         42,144.14         23,950.00
