ASOF02   Date 01/21/2003 Time 18:52:56   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 058

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - SNP       S&P 500 PASSIVE
Instrument - COM       COMMON STOCK

RYDER SYS. INC.                            2.673 R       783549108Q    22.4400        28,208.00        703,391.22        632,987.52
SABRE HOLDINGS CORP.                       0.000 TSG     785905100     18.1100        64,468.00      2,078,545.76      1,167,515.48
SAFECO CORP.                               2.134 SAFC    786429100Q    34.6700        62,417.00      1,904,247.90      2,163,997.39
SAFEWAY INC                                0.000 SWY     786514208     23.3600       199,224.00      9,127,146.78      4,653,872.64
SANMINA-SCI CORP                           0.000 SANM    800907107      4.4900       238,495.00      3,495,054.38      1,070,842.55
SARA LEE CORP.                             2.754 SLE     803111103Q    22.5100       352,114.00      6,471,969.62      7,926,086.14
SBC COMMUNICATIONS INC.                    3.983 SBC     78387G103Q    27.1100     1,499,420.00     44,499,575.55     40,649,276.20
SCHERING-PLOUGH                            3.063 SGP     806605101Q    22.2000       662,285.00     15,019,034.58     14,702,727.00
SCHLUMBERGER                               1.781 SLB     806857108Q    42.0900       262,215.00     12,219,217.12     11,036,629.35
SCHWAB (CHARLES) CORP                      0.368 SCH     808513105     10.8500       606,755.00      7,924,020.00      6,583,291.75
SCIENTIFIC ATLANTA INC.                    0.337 SFA     808655104Q    11.8600        69,695.00      1,538,333.95        826,582.70
SEALED AIR CORP.                           0.000 SEE     81211K100     37.3000        37,927.00      1,566,740.05      1,414,677.10
SEARS ROEBUCK & CO.                        3.841 S       812387108Q    23.9500       142,828.00      5,600,329.81      3,420,730.60
SEMPRA ENERGY                              4.228 SRE     816851109     23.6500        92,506.00      2,054,239.03      2,187,766.90
SHERWIN-WILLIAMS CO                        2.123 SHW     824348106Q    28.2500        67,729.00      1,551,152.13      1,913,344.25
SIEBEL SYSTEMS INC.                        0.000 SEBL    826170102      7.4800       218,814.00      5,178,919.48      1,636,728.72
SIGMA-ALDRICH                              0.739 SIAL    826552101Q    48.7000        32,394.00        978,541.73      1,577,587.80
SLM CORP                                   0.962 SLM     78442P106    103.8600        69,353.00      4,008,103.61      7,203,002.58
SNAP-ON TOOLS CORP.                        3.557 SNA     833034101Q    28.1100        26,422.00        749,445.59        742,722.42
SOLECTRON CORP                             0.000 SLR     834182107      3.5500       373,020.00      7,206,817.73      1,324,221.00
SOUTHERN CO                                4.825 SO      842587107Q    28.3900       322,246.00      6,010,257.28      9,148,563.94
SOUTHTRUST CORP                            3.380 SOTR    844730101     24.8500       156,593.00      3,016,889.98      3,891,336.05
SOUTHWEST AIRLINES                         0.143 LUV     844741108Q    13.9000       349,858.00      3,583,660.37      4,863,026.20
SPRINT CORP.                               3.453 FON     852061100Q    14.4800       403,960.00      9,857,178.58      5,849,340.80
SPRINT PCS GROUP                           0.000 PCS     852061506      4.3800       451,206.00      7,620,045.40      1,976,282.28
ST JUDE MED. INC.                          0.000 STJ     790849103     39.7200        80,220.00      1,665,122.43      3,186,338.40
ST. PAUL COMPANIES                         3.406 SPC     792860108Q    34.0500       102,258.00      3,237,555.19      3,481,884.90
STANLEY WORKS                              2.949 SWK     854616109Q    34.5800        39,892.00      1,174,448.10      1,379,465.36
STAPLES INC                                0.000 SPLS    855030102     18.3000       212,512.00      3,330,548.56      3,888,969.60
STARBUCKS CORP.                            0.000 SBUX    855244109     20.3800       175,385.00      2,774,784.27      3,574,346.30
STARWOOD RESORTS                           3.538 HOT     85590A203     23.7400        90,050.00      2,968,884.38      2,137,787.00
STATE STREET CORP                          1.333 STT     857477103     39.0000       146,435.00      5,042,476.82      5,710,965.00
STRYKER CORP.                              0.178 SYK     863667101     67.1200        89,421.00      2,958,479.29      6,001,937.52
SUN MICROSYSTEMS INC.                      0.000 SUNW    866810104      3.1100     1,406,504.00     15,893,456.98      4,374,227.44
SUNGARD DATA SYSTEMS                       0.000 SDS     867363103     23.5600       127,867.00      2,506,816.28      3,012,546.52
SUNOCO, INC.                               3.013 SUN     86764P109Q    33.1800        34,476.00      1,067,472.37      1,143,913.68
SUNTRUST BANKS INC.                        3.021 STI     867914103Q    56.9200       128,109.00      6,545,114.66      7,291,964.28
SUPER VALU STORES INC.                     3.452 SVU     868536103Q    16.5100        60,351.00      1,058,027.17        996,395.01
SYMBOL TECHNOLOGIES INC                    0.243 SBL     871508107      8.2200       104,148.00      1,727,223.99        856,096.56
