ASOF02   Date 01/21/2003 Time 18:52:53   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 044

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - GP5       LARGE CAP GROWTH
Instrument - COM       COMMON STOCK

CONCORD EFS INC.                           0.000 CE      206197105     15.7400       660,000.00     12,375,662.67     10,388,400.00
CONVERGYS CORPORATION                      0.000 CVG     212485106     15.1500        90,000.00      2,946,670.13      1,363,500.00
COX COMMUNICATIONS                         0.000 COX     224044107     28.4000        55,000.00      1,503,834.00      1,562,000.00
DANAHER CORP                               0.152 DHR     235851102     65.7000        50,000.00      1,959,271.76      3,285,000.00
DEL MONTE FOODS CO                         0.000 DLM     24522P103      7.7000         2,141.46         18,459.67         16,489.25
DELL COMPUTER CORP.                        0.000 DELL    247025109     26.7400     1,837,000.00     67,065,578.27     49,121,380.00
DOLLAR GENERAL                             1.087 DG      256669102     11.9500       234,000.00      3,387,634.65      2,796,300.00
DOW JONES & CO INC                         2.313 DJ      260561105Q    43.2300        11,000.00        609,908.55        475,530.00
DST SYSTEMS INC                            0.000 DST     233326107     35.5500        95,000.00      3,386,780.25      3,377,250.00
EBAY INC                                   0.000 EBAY    278642103     67.8200       215,000.00     12,694,107.85     14,581,300.00
ECOLAB INC                                 1.171 ECL     278865100Q    49.5000        90,000.00      3,292,899.36      4,455,000.00
ELECTRONIC ARTS, INC                       0.000 ERTS    285512109     49.7700       126,000.00      6,997,730.78      6,271,020.00
ELI LILLY & COMPANY                        2.110 LLY     532457108Q    63.5000       765,000.00     36,853,797.00     48,577,500.00
EMERSON ELECTRIC CO                        3.087 EMR     291011104Q    50.8500       350,000.00     13,996,089.87     17,797,500.00
EQUIFAX INC                                0.345 EFX     294429105     23.1400        55,000.00      1,154,298.01      1,272,700.00
FAMILY DOLLAR STORES                       0.833 FDO     307000109Q    31.2100       146,000.00      3,603,691.87      4,556,660.00
FED. NATL. MTG. ASSN.                      2.051 FNM     313586109Q    64.3300       708,000.00     39,421,720.90     45,545,640.00
FIFTH THIRD BANCORP                        1.776 FITB    316773100Q    58.5500       435,000.00     21,556,878.98     25,469,250.00
FIRST DATA CORP                            0.225 FDC     319963104Q    35.4100       490,000.00      8,939,040.53     17,350,900.00
FISERV INC. WISCONSIN                      0.000 FISV    337738108     33.9500       190,000.00      5,773,414.78      6,450,500.00
FOREST LABORATORIES INC.                   0.000 FRX     345838106     98.2200       121,100.00      6,200,615.35     11,894,442.00
FREEPORT MCMORAN CLASS B                   0.000 FCX     35671D857     16.7800        70,000.00      1,106,936.00      1,174,600.00
GAP INC                                    0.579 GPS     364760108Q    15.5200       700,000.00     16,341,793.01     10,864,000.01
GENERAL ELECTRIC CO                        3.121 GE      369604103Q    24.3500     7,302,000.00    204,439,824.40    177,803,700.00
GENERAL MILLS INC                          2.342 GIS     370334104Q    46.9500       220,000.00      9,179,257.22     10,329,000.00
GILEAD SCIENCES INC.                       0.000 GILD    375558103     34.0000        35,000.00      1,220,064.00      1,190,000.00
GILLETTE CO                                2.141 G       375766102Q    30.3600       828,000.00     30,015,689.30     25,138,080.00
GOLDMAN SACHS GROUP INC                    0.704 GS      38141G104     68.1000        25,000.00      1,941,266.40      1,702,500.00
GUIDANT CORP.                              0.000 GDT     401698105Q    30.8500       171,300.00      6,277,531.56      5,284,605.00
H & R BLOCK INC.                           1.791 HRB     093671105Q    40.2000       210,000.00      8,424,179.63      8,442,000.00
HARLEY-DAVIDSON INC                        0.303 HDI     412822108Q    46.2000       245,000.00      9,790,430.33     11,319,000.00
HCA INC                                    0.192 HCA     404119109     41.5000       410,000.00     12,699,025.17     17,015,000.00
HEINZ H. J. CO.                            4.928 HNZ     423074103Q    32.8700       290,000.00      9,885,739.20      9,532,300.00
HERSHEY FOODS CORP.                        1.942 HSY     427866108Q    67.4400        67,000.00      4,139,635.89      4,518,480.00
IMS HEALTH INC.                            0.500 RX      449934108     16.0000       208,000.00      3,381,704.57      3,328,000.00
INTEL CORP.                                0.513 INTC    458140100Q    15.5700     4,589,000.00    125,280,580.00     71,450,730.00
INTERNATL FLAVORS & FRAGRANCES             1.709 IFF     459506101Q    35.1000        30,000.00        965,718.50      1,053,000.00
INTERSIL HOLDINGS CORP                     0.000 ISIL    46069S109     13.9400       195,000.00      4,680,093.46      2,718,300.00
INTL BUS MACH CORP                         0.774 IBM     459200101Q    77.5000     1,172,000.00    107,634,064.96     90,830,000.00
