ASOF02   Date 01/21/2003 Time 18:52:47   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 011

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - VAP       LARGE CAP VALUE PASS
Instrument - COM       COMMON STOCK

CMS ENERGY CORP                            7.627 CMS     125896100Q     9.4400        31,700.00      1,128,550.85        299,248.00
COCA-COLA ENTERPRISE                       0.736 CCE     191219104     21.7200        99,000.00      3,584,997.24      2,150,280.00
COMCAST CORP - CL A                        0.000 CMCSA   20030N101     23.5700       508,486.00     18,150,115.36     11,985,015.03
COMERICA INC.                              4.440 CMA     200340107Q    43.2400        38,500.00      2,192,354.39      1,664,740.00
COMPUTER ASSOCIATE INTL. INC.              0.592 CA      204912109S    13.5000       126,300.00      5,829,822.68      1,705,050.00
COMPUTER SCIENCES                          0.000 CSC     205363104     34.4500        37,800.00      2,154,432.31      1,302,210.00
COMPUWARE CORP                             0.000 CPWR    205638109      4.8000        83,300.00      1,491,553.67        399,840.00
COMVERSE TECHNOLOGY INC.                   0.000 CMVT    205862402     10.0200        41,300.00      1,834,962.69        413,826.00
CONAGRA FOODS, INC.                        3.958 CAG     205887102Q    25.0100       118,300.00      2,768,931.00      2,958,683.00
CONOCOPHILLIPS                             3.306 COP     20825C104Q    48.3900       149,104.00      6,786,424.16      7,215,142.56
CONSOLIDATED EDISON INC.                   5.231 ED      209115104Q    42.8200        47,100.00      1,605,199.15      2,016,822.00
CONSTELLATION ENERGY GROUP INC             3.450 CEG     210371100Q    27.8200        36,300.00        995,016.54      1,009,866.00
CONVERGYS CORPORATION                      0.000 CVG     212485106     15.1500        38,200.00      1,249,087.55        578,730.00
COOPER INDUSTRIES LTD - CLASS              3.840 CBE     G24182100Q    36.4500        20,300.00        832,997.43        739,935.00
COOPER TIRE & RUBBER                       2.737 CTB     216831107Q    15.3400        16,200.00        245,459.89        248,508.00
COORS (ADOLPH) CL-B                        1.338 RKY     217016104Q    61.2500         8,000.00        359,027.79        490,000.00
CORNING INC                                0.000 GLW     219350105Q     3.3100       252,900.00      6,982,857.01        837,099.00
COSTCO WHOLESALE CORP.                     0.000 COST    22160K105     28.0600       100,400.00      3,940,033.21      2,817,224.00
COUNTRYWIDE FINANCIAL CORP                 0.929 CFC     222372104Q    51.6500        27,800.00      1,206,959.24      1,435,870.00
CRANE CO                                   2.007 CR      224399105Q    19.9300        13,100.00        254,496.52        261,083.00
CSX CORP.                                  1.412 CSX     126408103Q    28.3100        46,900.00      2,228,142.32      1,327,739.00
CUMMINS INC.                               4.265 CUM     231021106Q    28.1300         9,100.00        474,394.17        255,983.00
CVS CORP.                                  0.921 CVS     126650100Q    24.9700        86,600.00      3,027,233.51      2,162,402.00
DANA CORP                                  0.340 DCN     235811106Q    11.7600        32,700.00      1,280,428.69        384,552.00
DANAHER CORP                               0.152 DHR     235851102     65.7000        33,600.00      1,316,630.63      2,207,520.00
DARDEN RESTAURANTS INC                     0.391 DRI     237194105     20.4500        37,700.00        744,536.24        770,965.00
DEERE & CO.                                1.919 DE      244199105Q    45.8500        52,600.00      2,357,832.08      2,411,710.00
DELPHI AUTOMOTIVE SYSTEMS CORP             3.478 DPH     247126105      8.0500       123,000.00      1,538,178.30        990,150.00
DELTA AIR LINES, INC.                      0.826 DAL     247361108Q    12.1000        27,200.00      1,534,680.83        329,120.00
DEVON ENERGY CORPORATION                   0.435 DVN     25179M103     45.9000        34,500.00      1,303,824.72      1,583,550.00
DILLARDS INC. CL-A                         1.008 DDS     254067101Q    15.8600        18,700.00        394,735.10        296,582.00
DISNEY (WALT) CO.                          1.287 DIS     254687106Q    16.3100       450,000.00     14,321,736.76      7,339,500.00
DOMINION RESOURCES INC-VA                  4.699 D       25746U109Q    54.9000        67,700.00      2,810,902.78      3,716,730.00
DONNELLEY (R.R.) & SONS CO.                4.593 DNY     257867101Q    21.7700        25,000.00        929,426.22        544,250.00
DOVER CORP.                                1.851 DOV     260003108Q    29.1600        44,600.00      1,490,176.45      1,300,536.00
DOW CHEMICAL CO                            4.511 DOW     260543103Q    29.7000       200,700.00      6,608,195.06      5,960,790.00
DTE ENERGY COMPANY                         4.439 DTE     233331107Q    46.4000        36,900.00      1,186,313.18      1,712,160.00
DUKE ENERGY CORPORATION                    5.629 DUK     264399106Q    19.5400       196,400.00      5,560,198.87      3,837,656.00
DYNEGY INC                                25.423 DYN     26816Q101      1.1800        81,800.00      1,593,114.71         96,524.00
