ASOF02   Date 01/21/2003 Time 18:52:45   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 002

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - VAL       LARGE CAP VALUE ACTI
Instrument - COM       COMMON STOCK

BAUSCH & LOMB INC                          1.444 BOL     071707103Q    36.0000        25,300.00      1,056,649.44        910,800.00
BAXTER INTL                                2.071 BAX     071813109Q    28.0000        76,300.00      2,614,872.43      2,136,400.00
BB&T CORPORATION                           3.136 BBT     054937107     36.9900       202,300.00      6,203,435.58      7,483,077.00
BEAR STEARNS COMPANIES INC                 1.144 BSC     073902108     59.4000        49,200.00      2,449,859.18      2,922,480.00
BECTON DICKINSON & COMPANY                 1.303 BDX     075887109Q    30.6900       141,200.00      4,051,933.25      4,333,428.00
BELLSOUTH                                  3.092 BLS     079860102Q    25.8700       869,400.00     35,867,189.37     22,491,378.00
BIG LOTS, INC.                             0.000 BLI     089302103     13.2300        51,700.00        914,617.09        683,991.00
BLACK & DECKER                             1.119 BDK     091797100Q    42.8900        57,300.00      2,469,238.65      2,457,597.00
BMC SOFTWARE                               0.000 BMC     055921100     17.1100       368,800.00      8,383,809.95      6,310,168.00
BOEING CO                                  2.061 BA      097023105Q    32.9900       409,800.00     15,200,505.70     13,519,302.00
BOISE CASCADE CORP                         2.379 BCC     097383103Q    25.2200        26,100.00        959,114.97        658,242.00
BRISTOL-MYERS SQUIBB                       4.838 BMY     110122108Q    23.1500       499,000.00     14,084,483.89     11,551,850.00
BROADCOM CORP CL A                         0.000 BRCM    111320107     15.0600       168,300.00     25,135,759.98      2,534,598.00
BURLINGTON NORTHERN SANTA FE               1.845 BNI     12189T104Q    26.0100       212,300.00      5,604,121.84      5,521,923.00
BURLINGTON RESOURCES                       1.289 BR      122014103Q    42.6500        92,300.00      3,579,447.78      3,936,595.00
CALPINE CORPORATION                        0.000 CPN     131347106      3.2600       564,700.00      5,522,929.71      1,840,922.00
CAPITAL ONE FINANCIAL CORP.                0.370 COF     14040H105     29.7200        91,800.00      4,495,307.84      2,728,296.00
CARNIVAL CORP                              1.683 CCL     143658102Q    24.9500       336,600.00     13,856,735.19      8,398,170.00
CATERPILLAR INC.                           3.062 CAT     149123101Q    45.7200       182,500.00      9,208,179.62      8,343,900.00
CENDANT CORP.                              0.000 CD      151313103     10.4800       581,400.00     10,122,907.08      6,093,072.00
CENTERPOINT ENERGY INC                     7.529 CNP     15189T107Q     8.5000       134,100.00      3,475,661.01      1,139,850.00
CENTURYTEL, INC.                           0.714 CTL     156700106     29.3800        67,000.00      2,144,895.53      1,968,460.00
CHARTER ONE FNCL INC.                      3.063 CF      160903100Q    28.7300        47,565.00      1,084,625.89      1,366,542.45
CHEVRONTEXACO CORP                         4.211 CVX     166764100Q    66.4800       514,100.00     41,118,186.95     34,177,368.00
CHIRON CORP                                0.000 CHIR    170040109     37.6000        90,500.00      2,750,601.07      3,402,800.00
CHUBB CORP                                 2.682 CB      171232101Q    52.2000       115,600.00      6,095,432.22      6,034,320.00
CIENA CORP.                                0.000 CIEN    171779101      5.1400       141,600.00      2,431,496.33        727,824.00
CIGNA CORP.                                3.210 CI      125509109Q    41.1200        70,600.00      5,253,012.37      2,903,072.00
CINCINNATI FINANCIAL CORP.                 2.370 CINF    172062101Q    37.5500       112,200.00      4,184,893.84      4,213,110.00
CINERGY CORP                               5.456 CIN     172474108Q    33.7200        95,400.00      2,743,515.76      3,216,888.00
CIRCUIT CITY STORES                        0.943 CC      172737108Q     7.4200        99,400.00      1,362,278.34        737,548.00
CIT GROUP INC                              2.449 CIT     125581108     19.6000        37,300.00        857,900.00        731,080.00
CITIGROUP INC.                             2.046 C       172967101Q    35.1900     2,670,178.00     85,362,409.27     93,963,563.82
CLEAR CHANNEL COMMUNICATIONS               0.000 CCU     184502102     37.2900       397,000.00     26,371,004.30     14,804,130.00
CMS ENERGY CORP                            7.627 CMS     125896100Q     9.4400        65,800.00      1,636,378.95        621,152.00
COMCAST CORP - CL A                        0.000 CMCSA   20030N101     23.5700     1,159,791.00     39,190,349.83     27,336,273.87
COMERICA INC.                              4.440 CMA     200340107Q    43.2400       108,800.00      5,092,541.44      4,704,512.00
COMPUTER ASSOCIATE INTL. INC.              0.592 CA      204912109S    13.5000       413,500.00     13,186,314.53      5,582,250.00
COMPUTER SCIENCES                          0.000 CSC     205363104     34.4500        81,900.00      5,361,415.20      2,821,455.00
