ASOF02   Date 01/21/2003 Time 18:52:54   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 050

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - SNP       S&P 500 PASSIVE
Instrument - COM       COMMON STOCK

BOEING CO                                  2.061 BA      097023105Q    32.9900       379,091.00     14,178,641.59     12,506,212.09
BOISE CASCADE CORP                         2.379 BCC     097383103Q    25.2200        26,320.00        784,797.88        663,790.40
BOSTON SCIENTIFIC CORP.                    0.000 BSX     101137107     42.5200       184,170.00      4,161,561.68      7,830,908.40
BRISTOL-MYERS SQUIBB                       4.838 BMY     110122108Q    23.1500       874,786.00     28,278,227.44     20,251,295.90
BROADCOM CORP CL A                         0.000 BRCM    111320107     15.0600       124,613.00     17,675,571.78      1,876,671.78
BROWN-FORMAN -CL B                         2.295 BF.B    115637209Q    65.3600        30,853.00      1,541,363.81      2,016,552.08
BRUNSWICK CORP                             2.517 BC      117043109Q    19.8600        40,691.00        859,856.46        808,123.26
BURLINGTON NORTHERN SANTA FE               1.845 BNI     12189T104Q    26.0100       170,493.00      4,628,679.54      4,434,522.93
BURLINGTON RESOURCES                       1.289 BR      122014103Q    42.6500        90,900.00      3,380,104.51      3,876,885.00
CALPINE CORPORATION                        0.000 CPN     131347106      3.2600       170,708.00      2,988,759.54        556,508.08
CAMPBELL SOUP CO.                          2.684 CPB     134429109Q    23.4700       185,122.00      5,350,675.86      4,344,813.34
CAPITAL ONE FINANCIAL CORP.                0.370 COF     14040H105     29.7200       100,184.00      3,224,561.80      2,977,468.48
CARDINAL HEALTH INC.                       0.168 CAH     14149Y108Q    59.1900       199,851.00      8,192,958.20     11,829,180.70
CARNIVAL CORP                              1.683 CCL     143658102Q    24.9500       264,938.00     10,307,890.00      6,610,203.10
CATERPILLAR INC.                           3.062 CAT     149123101Q    45.7200       155,389.00      5,775,187.48      7,104,385.08
CENDANT CORP.                              0.000 CD      151313103     10.4800       468,119.00      8,773,090.59      4,905,887.12
CENTERPOINT ENERGY INC                     7.529 CNP     15189T107Q     8.5000       137,290.00      2,783,166.55      1,166,965.00
CENTEX CORP                                0.318 CTX     152312104Q    50.2000        27,808.00        773,257.92      1,395,961.60
CENTURYTEL, INC.                           0.714 CTL     156700106     29.3800        64,401.00      1,797,217.61      1,892,101.38
CHARTER ONE FNCL INC.                      3.063 CF      160903100Q    28.7300       102,074.00      2,472,395.23      2,932,586.02
CHEVRONTEXACO CORP                         4.211 CVX     166764100Q    66.4800       482,415.00     29,021,194.64     32,070,949.20
CHIRON CORP                                0.000 CHIR    170040109     37.6000        85,004.00      2,239,200.34      3,196,150.40
CHUBB CORP                                 2.682 CB      171232101Q    52.2000        77,221.00      4,079,187.97      4,030,936.21
CIENA CORP.                                0.000 CIEN    171779101      5.1400       194,937.00      2,616,869.87      1,001,976.18
CIGNA CORP.                                3.210 CI      125509109Q    41.1200        62,958.00      3,529,333.37      2,588,832.96
CINCINNATI FINANCIAL CORP.                 2.370 CINF    172062101Q    37.5500        72,888.00      1,812,699.01      2,736,944.40
CINERGY CORP                               5.456 CIN     172474108Q    33.7200        75,971.00      2,380,025.11      2,561,742.12
CINTAS CORP                                0.546 CTAS    172908105     45.7500        76,895.00      2,819,428.47      3,517,946.25
CIRCUIT CITY STORES                        0.943 CC      172737108Q     7.4200        94,911.00      1,103,439.81        704,239.62
CISCO SYSTEMS                              0.000 CSCO    17275R102     13.1000     3,262,816.00     64,097,999.23     42,742,889.60
CITIGROUP INC.                             2.046 C       172967101Q    35.1900     2,319,521.00     57,155,554.67     81,623,943.99
CITIZENS COMMUNICATIONS CO                 0.000 CZN     17453B101     10.5500       127,460.00      1,736,921.33      1,344,703.00
CITRIX SYSTEMS INC                         0.000 CTXS    177376100     12.3200        77,253.00      1,530,642.88        951,756.96
CLEAR CHANNEL COMMUNICATIONS               0.000 CCU     184502102     37.2900       276,678.00     15,690,766.62     10,317,322.62
CLOROX COMPANY                             2.133 CLX     189054109Q    41.2500        99,329.00      2,845,939.14      4,097,321.25
CMS ENERGY CORP                            7.627 CMS     125896100Q     9.4400        65,023.00      1,865,558.54        613,817.12
COCA COLA CO.                              1.825 KO      191216100Q    43.8200     1,119,563.00     48,736,709.37     49,059,250.66
COCA-COLA ENTERPRISE                       0.736 CCE     191219104     21.7200       202,933.00      5,230,215.87      4,407,704.76
COLGATE PALMOLIVE                          1.373 CL      194162103Q    52.4300       243,057.00      8,405,992.57     12,743,478.51
