ASOF02   Date 01/21/2003 Time 18:52:51   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 031

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - MV4       MID-CAP VALUE
Instrument - COM       COMMON STOCK

3COM CORP.                                 0.000 COMS    885535104      4.6300       710,000.00      6,566,989.79      3,287,300.00
ACTIVISION INC                             0.000 ATVI    004930202     14.5900       145,000.00      2,987,305.52      2,115,549.98
ADVANCED FIBRE COMMUNICATION               0.000 AFCI    00754A105     16.6800       171,000.00      4,213,883.04      2,852,280.00
ADVENT SOFTWARE INC                        0.000 ADVS    007974108     13.6300        97,000.00      1,359,787.30      1,322,110.00
AGL RESOURCES INC                          4.444 ATG     001204106     24.3000        78,000.00      1,646,898.55      1,895,400.00
AIRGAS INC                                 0.000 ARG     009363102     17.2500       174,000.00      2,129,619.82      3,001,500.00
AK STEEL HOLDING CORP                      3.125 AKS     001547108      8.0000       280,000.00      2,859,568.29      2,240,000.00
ALEXANDER & BALDWIN INC                    3.489 ALEX    014482103     25.7900       150,000.00      3,880,737.96      3,868,500.00
ALLETE, INC.                               4.850 ALE     018522102     22.6800       230,000.00      4,955,636.79      5,216,400.00
ALLIANT ENERGY CORPORATION                12.084 LNT     018802108     16.5500        50,000.00        825,105.00        827,500.00
ALLMERICA FINANCIAL CORP.                  2.475 AFC     019754100     10.1000       111,000.00      3,830,832.44      1,121,100.00
AMERICAN FINANCIAL GROUP INC.              2.167 AFG     025932104Q    23.0700       149,000.00      3,652,548.82      3,437,430.00
AMERICREDIT CORP.                          0.000 ACF     03060R101      7.7400       320,000.00      4,543,328.35      2,476,800.00
AMERUS GROUP CO                            1.414 AMH     03072M108     28.2700        64,000.00      2,417,733.59      1,809,280.00
ANDRX GROUP                                0.000 ADRX    034553107     14.6700        42,000.00      1,594,615.50        616,140.00
APOGENT TECHNOLOGY                         0.000 AOT     03760A101     20.8000       183,200.00      3,730,295.28      3,810,560.00
AQUILA INC                                39.548 ILA     03840P102      1.7700       343,000.00      6,891,265.33        607,110.00
ARCH COAL INC.                             1.065 ACI     039380100Q    21.5900       117,000.00      2,360,729.91      2,526,030.00
ARROW ELECTRONICS                          0.000 ARW     042735100     12.7900       210,000.00      4,066,962.55      2,685,900.00
ARVINMERITOR INC.                          2.399 ARM     043353101     16.6700       139,000.00      3,445,329.04      2,317,130.00
ASCENTIAL SOFTWARE CORP                    0.000 ASCL    04362P108      2.4000       443,000.00      2,484,425.10      1,063,200.00
ASSOCIATED BANC-CORP.                      3.653 ASBC    045487105     33.9400       119,000.00      3,462,463.93      4,038,860.00
ASTORIA FINANCIAL CORP.                    2.946 AF      046265104     27.1500       160,000.00      3,596,349.20      4,344,000.00
ATMEL CORP                                 0.000 ATML    049513104      2.2300     1,000,000.00      7,929,452.52      2,230,000.00
AVNET INC.                                 2.770 AVT     053807103Q    10.8300       340,000.00      6,187,371.46      3,682,200.00
AVOCENT CORPORATION                        0.000 AVCT    053893103     22.2200        85,000.00      2,065,135.71      1,888,700.00
BANDAG INC                                 3.309 BDG     059815100Q    38.6800        27,900.00        980,690.56      1,079,172.00
BANK OF HAWAII CORP                        2.500 BOH     062540109     30.3900       100,000.00      2,566,810.50      3,039,000.00
BANKNORTH GROUP INC.                       2.654 BNK     06646R107     22.6000       245,000.00      4,418,520.80      5,537,000.00
BARNES & NOBLE INC.                        0.000 BKS     067774109     18.0700       152,000.00      4,759,476.38      2,746,640.00
BELO CORP                                  1.407 BLC     080555105Q    21.3200       136,000.00      2,149,041.25      2,899,520.00
BJ'S WHOLESALE CLUB INC.                   0.000 BJ      05548J106     18.3000       133,000.00      2,972,217.26      2,433,900.00
BLACK HILLS CORP                           4.374 BKH     092113109     26.5200        36,000.00      1,216,650.70        954,720.00
BORDERS GROUP INC                          0.000 BGP     099709107     16.1000       184,000.00      3,639,834.27      2,962,400.00
BORG WARNER INC.                           1.428 BWA     099724106     50.4200        49,000.00      2,369,624.90      2,470,580.00
BOWATER INC.                               1.907 BOW     102183100Q    41.9500       125,000.00      5,963,130.50      5,243,750.00
CABOT CORP                                 1.959 CBT     127055101     26.5400       126,000.00      2,831,627.55      3,344,040.00
CALLAWAY GOLF COMPANY                      2.113 ELY     131193104     13.2500       205,000.00      3,107,902.24      2,716,250.00
CARLISLE COS INC                           2.078 CSL     142339100     41.3800        28,000.00      1,354,338.03      1,158,640.00
