ASOF02   Date 01/21/2003 Time 18:52:54   STATE TEACHERS RETIREMENT SYSTEM OF OHIO          Period 12/01/2002 To 12/31/2002  Page 049

Monthly Market Portfolio

Investment Desc             Rating Coupon Yield  Ticker Identifier F      Price      Par/Shares      Book Value       Market Value
------------------------------------------------------------------------------------------------------------------------------------

Group - COMMON STOCK
Portfolio  - SNP       S&P 500 PASSIVE
Instrument - COM       COMMON STOCK

AOL TIME WARNER INC                        4.122 AOL     00184A105     13.1000     2,018,678.00     57,753,404.83     26,444,681.80
AON CORP                                   3.176 AOC     037389103Q    18.8900       139,846.00      3,800,757.90      2,641,690.94
APACHE CORP.                               0.701 APA     037411105     56.9900        64,989.00      2,762,859.26      3,703,723.11
APOLLO GROUP INC                           0.000 APOL    037604105     44.0000        78,765.00      1,507,301.79      3,465,660.00
APPLE COMPUTER INC.                        0.000 AAPL    037833100     14.3300       162,084.00      3,595,057.85      2,322,663.72
APPLERA CORP - APPLIED BIOSYST             0.969 ABI     038020103Q    17.5400        94,450.00      3,317,435.16      1,656,653.00
APPLIED MATERIALS INC.                     0.000 AMAT    038222105     13.0300       744,220.00     11,932,949.30      9,697,186.60
APPLIED MICRO CIRCUITS CORP                0.000 AMCC    03822W109      3.6900       136,384.00      7,683,126.70        503,256.96
ARCHER DANIELS MIDLAND CO                  1.935 ADM     039483102Q    12.4000       292,108.00      3,655,445.86      3,622,139.20
ASHLAND INC                                3.855 ASH     044204105Q    28.5300        30,857.99      1,147,301.40        880,378.73
AT&T CORPORATION                           2.872 T       001957505Q    26.1100       347,899.00     11,419,984.81      9,083,642.89
AT&T WIRELESS SERVICES INC                 0.000 AWE     00209A106      5.6500     1,223,405.00     19,139,800.69      6,912,238.25
AUTODESK INC.                              0.839 ADSK    052769106Q    14.3000        50,955.00        795,377.94        728,656.50
AUTOMATIC DATA PROC.                       1.222 ADP     053015103Q    39.2500       270,436.00      9,062,691.04     10,614,613.00
AUTOZONE INC                               0.000 AZO     053332102     70.6500        44,545.00      1,493,502.09      3,147,104.25
AVAYA INC                                  0.000 AV      053499109      2.4500       163,400.00      2,468,272.51        400,330.00
AVERY DENNISON                             2.357 AVY     053611109Q    61.0800        49,554.00      1,821,042.21      3,026,758.32
AVON PRODUCTS                              1.485 AVP     054303102Q    53.8700       106,249.00      3,001,019.86      5,723,633.63
BAKER HUGHES CORP                          1.429 BHI     057224107Q    32.1900       151,568.00      4,059,739.55      4,878,973.92
BALL CORPORATION                           0.703 BLL     058498106Q    51.1900        25,642.00        547,748.50      1,312,613.98
BANK OF AMERICA CORP.                      3.679 BAC     060505104Q    69.5700       675,850.00     29,877,937.77     47,018,884.50
BANK OF NEW YORK CO, INC                   3.172 BK      064057102Q    23.9600       327,947.00      8,128,031.02      7,857,610.12
BANK ONE CORPORATION                       2.298 ONE     06423A103Q    36.5500       525,961.00     18,525,225.41     19,223,874.55
BARD C. R. INC.                            1.517 BCR     067383109Q    58.0000        23,363.00        907,533.66      1,355,054.00
BAUSCH & LOMB INC                          1.444 BOL     071707103Q    36.0000        24,315.00      1,119,556.81        875,340.00
BAXTER INTL                                2.071 BAX     071813109Q    28.0000       267,939.00      7,333,007.22      7,502,292.00
BB&T CORPORATION                           3.136 BBT     054937107     36.9900       216,260.00      7,069,400.29      7,999,457.40
BEAR STEARNS COMPANIES INC                 1.144 BSC     073902108     59.4000        43,381.00      1,944,246.22      2,576,831.40
BECTON DICKINSON & COMPANY                 1.303 BDX     075887109Q    30.6900       115,896.00      2,543,884.75      3,556,848.24
BED BATH & BEYOND INC                      0.000 BBBY    075896100     34.5300       132,125.00      2,130,533.09      4,562,276.25
BELLSOUTH                                  3.092 BLS     079860102Q    25.8700       839,298.00     23,378,170.63     21,712,639.26
BEMIS CO.                                  2.095 BMS     081437105Q    49.6300        23,930.00        767,901.34      1,187,645.90
BEST BUY COMPANY INC                       0.000 BBY     086516101     24.1500       145,238.00      2,924,774.84      3,507,497.70
BIG LOTS, INC.                             0.000 BLI     089302103     13.2300        52,405.00      1,529,256.04        693,318.15
BIOGEN INC.                                0.000 BGEN    090597105     40.0600        67,313.00      2,211,433.92      2,696,558.78
BIOMET INC.                                0.348 BMET    090613100     28.6600       117,267.00      1,640,702.61      3,360,872.22
BJ SERVICES CO                             0.000 BJS     055482103     32.3100        70,769.00      1,665,447.68      2,286,546.39
BLACK & DECKER                             1.119 BDK     091797100Q    42.8900        36,346.00      1,214,844.54      1,558,879.94
BMC SOFTWARE                               0.000 BMC     055921100     17.1100       106,287.00      3,754,542.12      1,818,570.57
